Label,Alabama_Count,Alaska_Count,Arizona_Count,Arkansas_Count,California_Count,Colorado_Count,Connecticut_Count,Delaware_Count,District of Columbia_Count,Florida_Count,Georgia_Count,Hawaii_Count,Idaho_Count,Illinois_Count,Indiana_Count,Iowa_Count,Kansas_Count,Kentucky_Count,Louisiana_Count,Maine_Count,Maryland_Count,Massachusetts_Count,Michigan_Count,Minnesota_Count,Mississippi_Count,Missouri_Count,Montana_Count,Nebraska_Count,Nevada_Count,New Hampshire_Count,New Jersey_Count,New Mexico_Count,New York_Count,North Carolina_Count,North Dakota_Count,Ohio_Count,Oklahoma_Count,Oregon_Count,Pennsylvania_Count,Rhode Island_Count,South Carolina_Count,South Dakota_Count,Tennessee_Count,Texas_Count,Utah_Count,Vermont_Count,Virginia_Count,Washington_Count,West Virginia_Count,Wisconsin_Count,Wyoming_Count,Puerto Rico_Count
            High school graduate (includes equivalency),"8,318","1,687","10,135","5,769","48,817","5,550","3,821","1,178","1,520","30,286","17,998","1,757","2,162","18,701","10,581","4,672","3,703","7,786","9,882","1,605","9,761","7,548","15,659","6,709","5,465","8,174","1,605","3,104","4,505","1,471","9,055","3,312","19,879","12,688","1,093","20,221","6,373","6,192","23,284","1,951","11,175","1,387","11,871","48,304","2,536",343,"10,212","8,796","3,671","8,286",832,"4,285"
            Some college or associate's degree,"11,260",848,"11,539","5,680","59,575","6,057","4,540","1,088","1,405","30,279","21,156","2,722","3,087","21,562","10,655","5,899","4,697","7,403","11,540","1,407","10,186","7,390","16,178","8,932","7,215","9,039",861,"4,284","3,745","1,620","12,205","3,951","25,366","17,348","1,392","17,720","5,772","3,952","18,117","2,159","9,921","1,780","10,901","46,747","3,435",563,"11,872","8,487","2,465","9,217",996,"6,838"
            Bachelor's degree,"1,035",142,"1,641",498,"11,427","1,021",991,510,162,"6,056","5,413",505,341,"4,316","1,820","1,126",617,670,"2,616",399,"1,914","1,874","2,078","2,047",834,"1,764",327,780,514,735,"2,542",329,"8,129","3,660",406,"3,582","1,001",985,"4,799",826,"1,063",210,"2,537","6,999",578,117,"1,890","1,315",687,"1,503",0,"2,607"
            Graduate or professional degree,452,0,552,0,"3,954",491,388,119,333,"2,094",843,269,85,"1,625",87,225,40,168,327,14,"1,093",929,474,100,211,753,233,240,210,281,"1,087",354,"3,433","1,721",0,"1,169",174,409,"1,129",154,262,0,203,"1,796",110,73,814,"1,019",146,235,0,513
Women who did not have a birth in the past 12 months:,"1,098,923","162,416","1,489,555","644,831","9,198,252","1,253,167","809,134","209,516","196,641","4,357,530","2,424,447","303,874","354,724","2,936,863","1,479,682","660,847","624,638","978,418","1,065,770","277,759","1,392,082","1,601,066","2,163,404","1,191,876","682,460","1,335,314","207,236","404,885","656,351","287,186","2,013,518","442,717","4,666,294","2,290,603","158,851","2,531,219","858,375","891,616","2,773,652","239,771","1,083,323","177,606","1,492,739","6,421,017","694,923","134,836","1,932,892","1,611,263","385,326","1,244,679","125,999","812,178"
        Now married (including separated and spouse absent):,"465,780","72,329","601,218","305,130","3,854,341","576,669","322,514","81,442","50,001","1,735,334","1,013,856","138,898","166,727","1,213,761","625,347","301,773","288,664","452,602","413,710","118,415","571,915","617,507","869,483","536,459","266,567","586,537","91,697","190,446","275,219","124,646","866,314","176,624","1,776,713","1,016,375","74,026","1,059,998","399,715","388,835","1,147,861","88,423","454,911","83,374","669,707","2,945,978","354,497","55,511","861,578","734,109","170,612","544,804","60,525","251,344"
            Less than high school graduate,"46,326","4,538","84,692","30,140","633,974","49,094","16,601","7,394","3,562","143,995","103,293","5,235","13,454","111,511","49,189","16,748","22,583","37,762","36,435","4,502","40,734","35,404","56,913","29,985","22,609","39,302","3,183","15,097","39,993","4,396","60,947","25,947","195,422","90,768","1,865","65,937","40,491","39,763","71,368","5,594","39,663","4,400","52,748","462,009","26,498","1,478","54,553","56,681","14,298","32,952","4,942","18,944"
            High school graduate (includes equivalency),"112,542","15,194","120,148","83,024","730,631","93,759","58,022","16,587","5,250","409,536","211,791","34,546","35,501","237,091","147,122","54,926","52,737","114,369","115,582","26,249","100,337","101,664","166,672","75,830","59,572","124,591","22,564","30,969","70,275","24,340","169,120","40,722","364,630","184,693","12,225","241,715","101,340","68,789","277,545","18,314","100,694","15,514","186,968","636,134","76,559","12,961","160,245","135,444","52,792","106,097","13,996","58,622"
            Some college or associate's degree,"156,156","28,605","203,237","102,190","1,070,096","168,808","82,249","23,219","5,038","570,629","312,023","47,562","68,730","343,936","211,270","111,737","94,428","155,023","130,565","40,066","145,893","150,258","311,247","178,827","105,756","194,517","28,787","66,155","91,374","38,302","200,231","60,952","444,751","350,189","26,727","345,251","138,923","128,828","319,618","26,064","160,210","29,525","205,860","866,606","142,259","15,823","245,900","242,973","59,023","189,226","24,119","75,506"
            Bachelor's degree,"97,989","15,394","126,694","59,729","884,305","169,193","92,042","18,976","13,332","399,663","235,813","35,140","36,435","315,674","150,727","83,535","76,646","87,485","89,404","31,813","156,993","175,791","210,549","166,089","49,507","141,473","24,018","51,575","46,990","34,347","265,615","29,069","421,825","255,344","24,496","258,356","85,524","95,041","289,016","21,581","101,972","26,690","141,473","666,975","85,616","15,572","235,058","192,538","27,813","142,520","12,274","71,554"
            Graduate or professional degree,"52,767","8,598","66,447","30,047","535,335","95,815","73,600","15,266","22,819","211,511","150,936","16,415","12,607","205,549","67,039","34,827","42,270","57,963","41,724","15,785","127,958","154,390","124,102","85,728","29,123","86,654","13,145","26,650","26,587","23,261","170,401","19,934","350,085","135,381","8,713","148,739","33,437","56,414","190,314","16,870","52,372","7,245","82,658","314,254","23,565","9,677","165,822","106,473","16,686","74,009","5,194","26,718"
"        Unmarried (never married, widowed and divorced):","633,143","90,087","888,337","339,701","5,343,911","676,498","486,620","128,074","146,640","2,622,196","1,410,591","164,976","187,997","1,723,102","854,335","359,074","335,974","525,816","652,060","159,344","820,167","983,559","1,293,921","655,417","415,893","748,777","115,539","214,439","381,132","162,540","1,147,204","266,093","2,889,581","1,274,228","84,825","1,471,221","458,660","502,781","1,625,791","151,348","628,412","94,232","823,032","3,475,039","340,426","79,325","1,071,314","877,154","214,714","699,875","65,474","560,834"
            Less than high school graduate,"163,261","21,362","228,089","84,933","1,277,784","146,803","101,823","27,525","13,059","586,448","339,045","32,210","50,512","374,842","223,212","82,166","82,663","132,009","159,497","33,037","168,073","181,377","290,026","146,040","100,718","177,229","27,468","50,780","96,907","33,914","249,905","69,618","588,158","304,997","16,941","338,973","123,641","110,359","349,413","29,371","141,561","23,991","191,666","929,304","95,870","16,164","222,494","201,633","49,044","153,618","16,517","119,640"
            High school graduate (includes equivalency),"146,401","22,538","191,805","79,924","1,007,787","123,769","104,008","30,607","27,014","598,658","323,074","35,507","46,000","351,026","200,241","71,107","64,668","124,391","164,920","40,965","170,210","190,204","271,955","116,987","102,916","167,212","29,946","39,011","90,522","36,161","252,455","57,962","528,007","261,203","17,574","350,452","109,423","98,736","401,368","34,475","150,430","22,250","215,373","756,631","73,425","15,482","216,926","180,156","59,507","153,963","13,478","120,360"
            Some college or associate's degree,"225,495","30,037","319,454","126,959","1,862,185","222,866","155,816","43,884","33,963","911,731","464,187","60,194","67,643","580,679","289,323","141,607","127,990","188,886","221,458","54,199","266,029","306,912","502,187","235,345","159,969","263,396","35,404","81,369","134,324","54,978","343,075","97,221","889,560","452,068","34,581","520,282","156,730","180,667","514,300","52,988","221,560","34,367","268,470","1,152,250","116,807","28,033","363,869","302,912","72,050","254,287","25,421","194,017"
            Bachelor's degree,"69,026","10,828","109,040","34,137","877,218","135,525","85,482","17,805","36,386","384,667","196,643","26,969","17,027","297,197","108,873","49,594","44,043","57,616","78,618","24,500","140,817","206,425","168,875","121,548","36,203","101,560","16,894","34,447","43,973","27,164","222,537","27,811","602,024","185,203","13,304","189,823","51,921","83,295","261,388","25,099","83,953","10,549","104,754","469,194","39,629","16,286","181,524","142,764","24,393","110,431","6,988","97,920"
            Graduate or professional degree,"28,960","5,322","39,949","13,748","318,937","47,535","39,491","8,253","36,218","140,692","87,642","10,096","6,815","119,358","32,686","14,600","16,610","22,914","27,567","6,643","75,038","98,641","60,878","35,497","16,087","39,380","5,827","8,832","15,406","10,323","79,232","13,481","281,832","70,757","2,425","71,691","16,945","29,724","99,322","9,415","30,908","3,075","42,769","167,660","14,695","3,360","86,501","49,689","9,720","27,576","3,070","28,897"
