Label,Alabama_Count,Alaska_Count,Arizona_Count,Arkansas_Count,California_Count,Colorado_Count,Connecticut_Count,Delaware_Count,District of Columbia_Count,Florida_Count,Georgia_Count,Hawaii_Count,Idaho_Count,Illinois_Count,Indiana_Count,Iowa_Count,Kansas_Count,Kentucky_Count,Louisiana_Count,Maine_Count,Maryland_Count,Massachusetts_Count,Michigan_Count,Minnesota_Count,Mississippi_Count,Missouri_Count,Montana_Count,Nebraska_Count,Nevada_Count,New Hampshire_Count,New Jersey_Count,New Mexico_Count,New York_Count,North Carolina_Count,North Dakota_Count,Ohio_Count,Oklahoma_Count,Oregon_Count,Pennsylvania_Count,Rhode Island_Count,South Carolina_Count,South Dakota_Count,Tennessee_Count,Texas_Count,Utah_Count,Vermont_Count,Virginia_Count,Washington_Count,West Virginia_Count,Wisconsin_Count,Wyoming_Count,Puerto Rico_Count
Total:,"1,158,297","173,560","1,575,353","686,648","9,677,065","1,318,722","843,839","219,252","205,216","4,566,243","2,562,313","322,339","377,321","3,096,030","1,560,002","704,110","662,824","1,032,343","1,128,185","289,359","1,468,211","1,673,226","2,278,020","1,266,490","716,877","1,407,324","219,668","434,316","690,125","302,409","2,115,152","467,129","4,886,266","2,410,328","170,969","2,672,387","905,865","937,703","2,923,024","253,591","1,144,639","188,481","1,573,512","6,816,895","745,983","140,487","2,035,762","1,697,931","404,996","1,310,606","133,726","841,106"
Women who had a birth in the past 12 months:,"59,374","11,144","85,798","41,817","478,813","65,555","34,705","9,736","8,575","208,713","137,866","18,465","22,597","159,167","80,320","43,263","38,186","53,925","62,415","11,600","76,129","72,160","114,616","74,614","34,417","72,010","12,432","29,431","33,774","15,223","101,634","24,412","219,972","119,725","12,118","141,168","47,490","46,087","149,372","13,820","61,316","10,875","80,773","395,878","51,060","5,651","102,870","86,668","19,670","65,927","7,727","28,928"
        Now married (including separated and spouse absent):,"33,227","7,602","53,783","25,765","316,729","48,776","22,771","6,553","4,381","122,569","79,176","12,016","15,968","103,502","52,470","29,190","26,138","35,095","32,006","7,296","47,610","48,820","71,188","53,297","17,090","47,484","8,822","19,394","21,763","10,362","71,450","13,642","147,033","74,241","8,845","87,340","29,455","31,895","91,270","7,727","34,018","6,634","49,238","256,489","42,152","4,348","71,473","61,778","10,974","43,188","5,587","12,360"
            Less than high school graduate,"3,370",190,"6,918","2,792","37,877","4,432",775,707,95,"12,198","8,349",787,"1,077","7,550","6,110","2,463","2,464","4,298","2,599",539,"3,134","1,610","5,847","3,035","1,440","3,380",471,"1,277","3,607",877,"3,966","2,071","11,807","5,785",400,"8,690","2,646","2,386","6,406",194,"2,140",242,"4,144","31,901","1,326",198,"3,791","3,624",709,"1,940",145,670
            High school graduate (includes equivalency),"5,083","1,932","8,779","5,525","56,571","8,552","3,321",842,129,"28,624","14,763","2,280","3,523","14,299","8,347","3,145","4,057","5,826","5,887",962,"4,967","6,136","11,522","5,943","2,993","7,554","1,804","3,270","4,818","2,048","11,493","2,805","26,546","11,007","1,214","14,325","6,252","5,739","16,234","1,343","6,048","1,274","9,613","50,077","7,179","1,088","10,308","10,461","2,806","6,132","1,368","2,445"
            Some college or associate's degree,"11,514","2,483","19,168","9,290","88,710","12,140","5,322","1,456",110,"34,186","24,255","4,716","5,767","28,371","16,500","10,647","7,196","12,504","11,456","2,437","10,651","9,337","24,024","18,002","5,836","14,893","2,611","5,755","7,764","2,244","14,807","5,091","32,655","23,893","3,290","26,602","9,281","10,953","20,372","2,439","11,211","1,898","14,272","79,641","17,997","1,350","20,263","21,665","3,320","14,105","2,385","4,090"
            Bachelor's degree,"9,112","1,965","13,642","4,963","81,005","15,292","6,641","1,906","1,079","30,273","20,041","2,827","4,561","30,341","13,874","9,739","7,882","7,189","7,672","2,256","15,501","15,790","18,252","17,582","3,482","12,550","2,840","6,239","4,537","3,038","24,704","1,796","36,491","19,972","3,029","21,361","8,212","7,563","27,533","2,348","8,117","2,547","12,964","65,024","13,406","1,066","21,149","16,907","2,097","13,801","1,164","3,146"
            Graduate or professional degree,"4,148","1,032","5,276","3,195","52,566","8,360","6,712","1,642","2,968","17,288","11,768","1,406","1,040","22,941","7,639","3,196","4,539","5,278","4,392","1,102","13,357","15,947","11,543","8,735","3,339","9,107","1,096","2,853","1,037","2,155","16,480","1,879","39,534","13,584",912,"16,362","3,064","5,254","20,725","1,403","6,502",673,"8,245","29,846","2,244",646,"15,962","9,121","2,042","7,210",525,"2,009"
"        Unmarried (never married, widowed and divorced):","26,147","3,542","32,015","16,052","162,084","16,779","11,934","3,183","4,194","86,144","58,690","6,449","6,629","55,665","27,850","14,073","12,048","18,830","30,409","4,304","28,519","23,340","43,428","21,317","17,327","24,526","3,610","10,037","12,011","4,861","30,184","10,770","72,939","45,484","3,273","53,828","18,035","14,192","58,102","6,093","27,298","4,241","31,535","139,389","8,908","1,303","31,397","24,890","8,696","22,739","2,140","16,568"
            Less than high school graduate,"5,082",865,"8,148","4,105","38,311","3,660","2,194",288,774,"17,429","13,280","1,196",954,"9,461","4,707","2,151","2,991","2,803","6,044",879,"5,565","5,599","9,039","3,529","3,602","4,796",584,"1,629","3,037",754,"5,295","2,824","16,132","10,067",382,"11,136","4,715","2,654","10,773","1,003","4,877",864,"6,023","35,543","2,249",207,"6,609","5,273","1,727","3,498",312,"2,325"
