Label,Alabama_Count ,Alabama_Male ,Alabama_Female ,Alaska_Count ,Alaska_Male ,Alaska_Female ,Arizona_Count ,Arizona_Male ,Arizona_Female ,Arkansas_Count ,Arkansas_Male ,Arkansas_Female ,California_Count ,California_Male ,California_Female ,Colorado_Count ,Colorado_Male ,Colorado_Female ,Connecticut_Count ,Connecticut_Male ,Connecticut_Female ,Delaware_Count ,Delaware_Male ,Delaware_Female ,District of Columbia_Count ,District of Columbia_Male ,District of Columbia_Female ,Florida_Count ,Florida_Male ,Florida_Female ,Georgia_Count ,Georgia_Male ,Georgia_Female ,Hawaii_Count ,Hawaii_Male ,Hawaii_Female ,Idaho_Count ,Idaho_Male ,Idaho_Female ,Illinois_Count ,Illinois_Male ,Illinois_Female ,Indiana_Count ,Indiana_Male ,Indiana_Female ,Iowa_Count ,Iowa_Male ,Iowa_Female ,Kansas_Count ,Kansas_Male ,Kansas_Female ,Kentucky_Count ,Kentucky_Male ,Kentucky_Female ,Louisiana_Count ,Louisiana_Male ,Louisiana_Female ,Maine_Count ,Maine_Male ,Maine_Female ,Maryland_Count ,Maryland_Male ,Maryland_Female ,Massachusetts_Count ,Massachusetts_Male ,Massachusetts_Female ,Michigan_Count ,Michigan_Male ,Michigan_Female ,Minnesota_Count ,Minnesota_Male ,Minnesota_Female ,Mississippi_Count ,Mississippi_Male ,Mississippi_Female ,Missouri_Count ,Missouri_Male ,Missouri_Female ,Montana_Count ,Montana_Male ,Montana_Female ,Nebraska_Count ,Nebraska_Male ,Nebraska_Female ,Nevada_Count ,Nevada_Male ,Nevada_Female ,New Hampshire_Count ,New Hampshire_Male ,New Hampshire_Female ,New Jersey_Count ,New Jersey_Male ,New Jersey_Female ,New Mexico_Count ,New Mexico_Male ,New Mexico_Female ,New York_Count ,New York_Male ,New York_Female ,North Carolina_Count ,North Carolina_Male ,North Carolina_Female ,North Dakota_Count ,North Dakota_Male ,North Dakota_Female ,Ohio_Count ,Ohio_Male ,Ohio_Female ,Oklahoma_Count ,Oklahoma_Male ,Oklahoma_Female ,Oregon_Count ,Oregon_Male ,Oregon_Female ,Pennsylvania_Count ,Pennsylvania_Male ,Pennsylvania_Female ,Rhode Island_Count ,Rhode Island_Male ,Rhode Island_Female ,South Carolina_Count ,South Carolina_Male ,South Carolina_Female ,South Dakota_Count ,South Dakota_Male ,South Dakota_Female ,Tennessee_Count ,Tennessee_Male ,Tennessee_Female ,Texas_Count ,Texas_Male ,Texas_Female ,Utah_Count ,Utah_Male ,Utah_Female ,Vermont_Count ,Vermont_Male ,Vermont_Female ,Virginia_Count ,Virginia_Male ,Virginia_Female ,Washington_Count ,Washington_Male ,Washington_Female ,West Virginia_Count ,West Virginia_Male ,West Virginia_Female ,Wisconsin_Count ,Wisconsin_Male ,Wisconsin_Female ,Wyoming_Count ,Wyoming_Male ,Wyoming_Female ,Puerto Rico_Count ,Puerto Rico_Male ,Puerto Rico_Female ,United States_Count ,United States_Male ,United States_Female 
"        Some college, no degree","700,473","319,537","380,936","124,261","66,261","58,000","1,236,845","592,821","644,024","444,052","209,719","234,333","5,542,372","2,709,335","2,833,037","805,570","406,110","399,460","410,972","198,237","212,735","128,063","61,608","66,455","65,745","26,972","38,773","3,001,381","1,429,199","1,572,182","1,414,554","653,765","760,789","205,964","105,146","100,818","304,578","141,396","163,182","1,737,416","830,315","907,101","896,654","417,779","478,875","433,870","210,828","223,042","430,549","207,452","223,097","619,035","288,595","330,440","646,746","297,354","349,392","184,723","87,021","97,702","753,547","354,630","398,917","729,016","348,014","381,002","1,572,770","771,368","801,402","785,721","386,797","398,924","440,939","200,942","239,997","900,486","425,150","475,336","169,641","83,427","86,214","280,333","134,082","146,251","525,746","267,456","258,290","174,078","83,519","90,559","974,540","483,983","490,557","324,141","154,835","169,306","2,075,506","1,035,209","1,040,297","1,480,044","686,315","793,729","112,811","60,565","52,246","1,622,014","785,690","836,324","596,289","283,759","312,530","741,058","353,440","387,618","1,420,062","689,364","730,698","129,984","63,923","66,061","725,158","328,559","396,599","120,476","57,884","62,592","953,282","451,148","502,134","3,976,607","1,903,611","2,072,996","486,888","232,133","254,755","74,468","35,221","39,247","1,107,258","527,730","579,528","1,199,747","581,291","618,456","229,877","107,624","122,253","804,271","397,044","407,227","93,505","44,362","49,143","279,696","138,467","141,229","44,914,086","21,578,525","23,335,561"
        Associate's degree,"301,914","124,955","176,959","43,394","21,997","21,397","431,854","199,184","232,670","151,738","56,732","95,006","2,118,792","951,967","1,166,825","334,961","150,857","184,104","190,700","80,368","110,332","56,885","23,579","33,306","16,922","8,169","8,753","1,538,727","649,865","888,862","568,130","244,460","323,670","106,096","52,976","53,120","124,584","57,615","66,969","710,058","310,574","399,484","397,627","168,165","229,462","251,578","109,952","141,626","173,251","79,778","93,473","260,188","97,986","162,202","202,310","80,509","121,801","99,008","44,415","54,593","287,293","115,779","171,514","360,810","145,579","215,231","648,794","270,111","378,683","442,578","205,669","236,909","207,448","81,174","126,274","333,721","138,553","195,168","69,400","30,358","39,042","141,189","71,378","69,811","187,469","87,320","100,149","96,658","42,564","54,094","398,984","164,457","234,527","129,531","59,854","69,677","1,204,588","520,358","684,230","727,882","295,114","432,768","70,716","34,542","36,174","702,601","274,437","428,164","207,896","91,780","116,116","269,102","129,143","139,959","775,694","327,733","447,961","64,204","26,856","37,348","352,549","150,629","201,920","69,831","32,441","37,390","348,886","144,599","204,287","1,402,600","637,094","765,506","184,777","81,110","103,667","38,706","17,128","21,578","468,107","197,146","270,961","527,524","241,293","286,231","101,267","40,303","60,964","438,381","202,274","236,107","44,034","20,530","23,504","258,905","104,738","154,167","19,381,937","8,391,409","10,990,528"
        Bachelor's degree,"547,975","255,317","292,658","89,583","40,480","49,103","931,038","446,041","484,997","307,185","138,501","168,684","5,889,724","2,806,332","3,083,392","1,057,825","519,763","538,062","549,166","261,219","287,947","134,287","62,719","71,568","129,825","62,428","67,397","2,982,643","1,410,262","1,572,381","1,410,395","654,577","755,818","219,979","99,134","120,845","220,189","102,458","117,731","1,886,240","900,767","985,473","777,771","370,748","407,023","420,199","194,498","225,701","414,851","195,407","219,444","453,040","220,641","232,399","503,947","222,046","281,901","205,722","92,083","113,639","911,781","417,359","494,422","1,197,208","572,590","624,618","1,252,685","596,013","656,672","942,830","451,563","491,267","270,712","117,492","153,220","775,808","368,603","407,205","171,309","82,825","88,484","277,159","130,034","147,125","355,837","167,519","188,318","224,636","107,286","117,350","1,555,781","726,690","829,091","221,281","101,314","119,967","2,898,440","1,395,801","1,502,639","1,471,420","674,417","797,003","108,527","48,572","59,955","1,464,945","693,201","771,744","447,888","207,982","239,906","627,911","298,995","328,916","1,761,627","854,109","907,518","156,087","75,811","80,276","656,496","313,518","342,978","121,231","59,698","61,533","845,100","387,959","457,141","3,750,797","1,781,441","1,969,356","448,109","222,158","225,951","101,015","46,748","54,267","1,312,800","606,292","706,508","1,204,728","591,069","613,659","161,686","75,227","86,459","829,878","383,331","446,547","73,183","34,621","38,562","443,589","166,267","277,322","45,730,479","21,645,659","24,084,820"
        Graduate or professional degree,"337,382","150,301","187,081","56,574","25,340","31,234","561,120","278,048","283,072","168,182","76,783","91,399","3,538,760","1,753,632","1,785,128","637,777","309,169","328,608","445,382","205,831","239,551","93,912","43,525","50,387","171,604","81,246","90,358","1,770,994","857,573","913,421","891,173","386,296","504,877","115,230","52,815","62,415","116,466","62,216","54,250","1,222,732","564,198","658,534","435,055","199,352","235,703","202,054","93,810","108,244","237,638","110,304","127,334","312,883","128,529","184,354","280,328","118,616","161,712","123,277","53,056","70,221","798,449","368,059","430,390","984,535","449,669","534,866","818,110","386,179","431,931","490,396","224,739","265,657","171,039","68,103","102,936","495,473","219,536","275,937","77,839","37,524","40,315","145,428","67,250","78,178","193,082","95,867","97,215","143,601","64,165","79,436","995,984","487,138","508,846","173,317","78,366","94,951","2,267,778","978,526","1,289,252","849,765","377,313","472,452","44,870","19,966","24,904","891,640","412,301","479,339","238,621","111,120","127,501","404,405","190,085","214,320","1,155,775","523,332","632,443","104,188","46,279","57,909","398,063","169,045","229,018","53,553","23,796","29,757","503,124","224,476","278,648","2,025,736","1,003,105","1,022,631","216,552","128,119","88,433","71,257","29,797","41,460","1,012,270","489,263","523,007","750,904","368,701","382,203","108,020","47,844","60,176","428,501","196,590","231,911","40,374","19,862","20,512","182,991","69,922","113,069","28,771,172","13,456,755","15,314,417"
        High school graduate or higher,"2,926,985","1,362,291","1,564,694","452,968","232,179","220,789","4,331,542","2,109,647","2,221,895","1,781,463","844,576","936,887","22,636,359","11,067,211","11,569,148","3,672,723","1,824,895","1,847,828","2,264,581","1,075,061","1,189,520","620,789","290,181","330,608","463,977","215,442","248,535","13,689,867","6,514,837","7,175,030","6,224,197","2,907,007","3,317,190","920,690","456,037","464,653","1,071,091","526,568","544,523","7,812,057","3,739,664","4,072,393","4,033,932","1,933,064","2,100,868","1,966,523","957,039","1,009,484","1,760,324","853,030","907,294","2,657,789","1,261,324","1,396,465","2,699,357","1,255,103","1,444,254","923,838","439,182","484,656","3,781,706","1,772,029","2,009,677","4,429,635","2,105,872","2,323,763","6,298,340","3,033,650","3,264,690","3,601,522","1,766,746","1,834,776","1,688,747","773,436","915,311","3,814,347","1,819,522","1,994,825","699,268","343,971","355,297","1,170,498","570,403","600,095","1,855,551","921,677","933,874","914,078","441,712","472,366","5,591,610","2,667,155","2,924,455","1,224,660","591,048","633,612","11,970,504","5,678,775","6,291,729","6,368,153","2,960,372","3,407,781","471,356","236,342","235,014","7,308,958","3,489,903","3,819,055","2,315,978","1,114,459","1,201,519","2,729,719","1,318,363","1,411,356","8,216,204","3,934,100","4,282,104","666,745","318,347","348,398","3,147,526","1,457,920","1,689,606","541,735","267,228","274,507","4,131,145","1,943,556","2,187,589","15,890,162","7,707,576","8,182,586","1,778,532","880,099","898,433","414,700","199,483","215,217","5,288,045","2,529,327","2,758,718","4,850,250","2,380,471","2,469,779","1,116,281","540,302","575,979","3,724,423","1,810,325","1,914,098","368,597","185,655","182,942","1,813,327","809,383","1,003,944","199,280,027","95,624,162","103,655,865"
        Bachelor's degree or higher,"885,357","405,618","479,739","146,157","65,820","80,337","1,492,158","724,089","768,069","475,367","215,284","260,083","9,428,484","4,559,964","4,868,520","1,695,602","828,932","866,670","994,548","467,050","527,498","228,199","106,244","121,955","301,429","143,674","157,755","4,753,637","2,267,835","2,485,802","2,301,568","1,040,873","1,260,695","335,209","151,949","183,260","336,655","164,674","171,981","3,108,972","1,464,965","1,644,007","1,212,826","570,100","642,726","622,253","288,308","333,945","652,489","305,711","346,778","765,923","349,170","416,753","784,275","340,662","443,613","328,999","145,139","183,860","1,710,230","785,418","924,812","2,181,743","1,022,259","1,159,484","2,070,795","982,192","1,088,603","1,433,226","676,302","756,924","441,751","185,595","256,156","1,271,281","588,139","683,142","249,148","120,349","128,799","422,587","197,284","225,303","548,919","263,386","285,533","368,237","171,451","196,786","2,551,765","1,213,828","1,337,937","394,598","179,680","214,918","5,166,218","2,374,327","2,791,891","2,321,185","1,051,730","1,269,455","153,397","68,538","84,859","2,356,585","1,105,502","1,251,083","686,509","319,102","367,407","1,032,316","489,080","543,236","2,917,402","1,377,441","1,539,961","260,275","122,090","138,185","1,054,559","482,563","571,996","174,784","83,494","91,290","1,348,224","612,435","735,789","5,776,533","2,784,546","2,991,987","664,661","350,277","314,384","172,272","76,545","95,727","2,325,070","1,095,555","1,229,515","1,955,632","959,770","995,862","269,706","123,071","146,635","1,258,379","579,921","678,458","113,557","54,483","59,074","626,580","236,189","390,391","74,501,651","35,102,414","39,399,237"
Population 25 to 34 years,"637,403","316,639","320,764","117,978","62,283","55,695","1,001,594","520,096","481,498","386,602","191,611","194,991","6,036,052","3,116,338","2,919,714","907,627","475,217","432,410","444,509","227,206","217,303","128,412","64,551","63,861","164,375","77,357","87,018","2,768,060","1,407,925","1,360,135","1,458,596","719,370","739,226","195,781","102,839","92,942","234,800","117,791","117,009","1,748,323","882,952","865,371","886,319","446,347","439,972","400,299","204,283","196,016","377,373","190,659","186,714","576,692","293,312","283,380","643,422","313,794","329,628","164,231","81,435","82,796","820,575","409,053","411,522","992,607","500,175","492,432","1,302,017","664,938","637,079","765,578","389,269","376,309","368,227","178,456","189,771","823,722","413,179","410,543","133,119","67,437","65,682","257,931","130,633","127,298","449,055","229,452","219,603","170,730","88,605","82,125","1,148,458","582,025","566,433","278,627","141,894","136,733","2,865,401","1,435,377","1,430,024","1,401,663","685,906","715,757","117,574","62,583","54,991","1,544,717","778,400","766,317","536,999","271,935","265,064","594,585","303,798","290,787","1,704,848","869,539","835,309","148,180","76,003","72,177","670,757","327,297","343,460","114,420","59,202","55,218","934,878","463,875","471,003","4,242,661","2,160,078","2,082,583","472,153","238,606","233,547","76,649","39,899","36,750","1,174,655","589,624","585,031","1,164,010","603,216","560,794","211,267","108,023","103,244","737,315","377,834","359,481","76,649","40,983","35,666","385,530","189,277","196,253","45,578,475","23,099,299","22,479,176"
        High school graduate or higher,"569,279","275,827","293,452","109,056","57,967","51,089","888,213","452,675","435,538","351,886","173,270","178,616","5,453,658","2,775,717","2,677,941","851,327","443,362","407,965","415,168","209,676","205,492","117,104","57,867","59,237","156,272","71,750","84,522","2,509,435","1,251,380","1,258,055","1,321,420","642,787","678,633","188,265","99,236","89,029","217,753","108,274","109,479","1,631,773","814,743","817,030","802,602","397,081","405,521","377,629","191,774","185,855","351,044","174,763","176,281","529,287","265,400","263,887","565,119","268,081","297,038","155,794","76,473","79,321","764,880","376,099","388,781","936,881","468,308","468,573","1,208,653","612,193","596,460","724,692","367,404","357,288","325,988","154,122","171,866","767,318","381,494","385,824","125,260","62,490","62,770","241,022","121,835","119,187","398,176","201,467","196,709","162,068","83,462","78,606","1,079,723","541,621","538,102","248,343","125,995","122,348","2,643,911","1,314,963","1,328,948","1,269,040","610,451","658,589","111,282","58,354","52,928","1,429,808","712,299","717,509","482,723","242,420","240,303","551,789","276,774","275,015","1,586,612","802,143","784,469","137,462","69,603","67,859","604,820","288,368","316,452","105,662","53,910","51,752","862,842","422,319","440,523","3,800,840","1,908,285","1,892,555","444,995","225,120","219,875","71,842","36,944","34,898","1,096,679","544,947","551,732","1,081,355","553,294","528,061","194,042","99,698","94,344","697,284","354,169","343,115","71,890","38,266","33,624","356,754","171,298","185,456","41,789,966","20,916,920","20,873,046"
        Bachelor's degree or higher,"174,995","75,308","99,687","30,578","12,090","18,488","282,025","133,633","148,392","99,160","44,963","54,197","2,308,396","1,076,549","1,231,847","403,405","186,835","216,570","197,508","90,158","107,350","42,172","18,235","23,937","120,636","53,873","66,763","859,084","375,116","483,968","505,835","218,566","287,269","65,214","27,351","37,863","64,553","29,144","35,409","752,977","343,853","409,124","273,104","122,315","150,789","144,346","64,436","79,910","140,653","62,288","78,365","173,333","77,122","96,211","181,788","76,525","105,263","58,383","23,899","34,484","355,153","156,605","198,548","538,922","248,253","290,669","442,139","203,478","238,661","330,070","149,186","180,884","83,989","33,987","50,002","292,534","127,482","165,052","49,952","22,810","27,142","101,570","42,819","58,751","108,693","45,958","62,735","68,972","31,705","37,267","549,095","248,918","300,177","67,194","29,476","37,718","1,351,584","608,078","743,506","498,352","214,533","283,819","39,309","16,395","22,914","528,379","241,963","286,416","138,253","59,033","79,220","208,425","93,093","115,332","681,890","315,421","366,469","63,074","30,130","32,944","213,392","92,263","121,129","40,071","18,950","21,121","313,856","134,229","179,627","1,390,246","637,000","753,246","165,186","78,982","86,204","32,330","14,408","17,922","497,806","221,148","276,658","462,884","219,429","243,455","51,789","21,624","30,165","274,024","121,399","152,625","20,267","9,621","10,646","126,465","47,970","78,495","16,837,545","7,600,635","9,236,910"
Population 35 to 44 years,"605,739","293,622","312,117","93,035","47,253","45,782","898,533","455,535","442,998","377,184","186,780","190,404","5,298,911","2,682,671","2,616,240","805,306","414,330","390,976","426,967","211,341","215,626","113,704","55,550","58,154","108,905","53,500","55,405","2,612,250","1,299,634","1,312,616","1,401,934","677,918","724,016","185,133","92,107","93,026","225,804","114,522","111,282","1,641,179","819,771","821,408","825,768","408,629","417,139","392,097","201,216","190,881","362,905","184,480","178,425","556,896","278,008","278,888","606,785","299,760","307,025","153,615","76,141","77,474","786,924","383,362","403,562","849,654","417,715","431,939","1,174,029","583,011","591,018","730,399","370,033","360,366","379,610","182,839","196,771","756,709","377,763","378,946","132,472","69,121","63,351","243,052","123,646","119,406","410,321","207,993","202,328","158,985","79,454","79,531","1,144,104","568,997","575,107","261,847","132,800","129,047","2,430,106","1,197,859","1,232,247","1,312,661","637,465","675,196","96,037","50,589","45,448","1,404,148","697,557","706,591","501,516","251,741","249,775","578,846","290,002","288,844","1,520,179","759,312","760,867","124,433","62,353","62,080","628,604","306,036","322,568","106,071","55,360","50,711","849,159","416,235","432,924","3,959,419","1,988,768","1,970,651","443,692","226,349","217,343","70,815","35,439","35,376","1,128,152","563,965","564,187","1,032,245","523,858","508,387","219,899","110,528","109,371","714,436","359,574","354,862","73,671","38,223","35,448","395,192","188,374","206,818","41,914,845","20,920,715","20,994,130"
        High school graduate or higher,"532,109","253,572","278,537","88,465","44,767","43,698","778,048","390,459","387,589","336,879","163,968","172,911","4,478,016","2,240,014","2,238,002","734,977","375,964","359,013","390,802","190,679","200,123","99,617","47,223","52,394","101,314","49,237","52,077","2,321,693","1,126,198","1,195,495","1,226,397","579,882","646,515","175,421","87,285","88,136","206,776","103,290","103,486","1,480,378","729,014","751,364","739,889","362,936","376,953","362,058","183,744","178,314","327,325","165,298","162,027","499,412","245,715","253,697","528,918","253,845","275,073","147,861","72,746","75,115","706,498","337,865","368,633","789,868","383,587","406,281","1,072,644","528,926","543,718","687,235","346,475","340,760","332,282","157,051","175,231","695,932","341,838","354,094","125,917","65,128","60,789","224,543","112,968","111,575","346,105","174,214","171,891","150,149","73,406","76,743","1,038,627","511,490","527,137","222,689","112,246","110,443","2,172,693","1,058,785","1,113,908","1,157,415","546,541","610,874","91,548","47,742","43,806","1,290,580","634,709","655,871","440,973","218,606","222,367","521,837","258,075","263,762","1,401,375","692,276","709,099","114,593","55,595","58,998","561,219","262,712","298,507","98,890","51,414","47,476","759,559","366,687","392,872","3,367,277","1,666,025","1,701,252","416,127","210,451","205,676","66,526","32,913","33,613","1,030,247","510,222","520,025","936,784","468,423","468,361","200,719","100,504","100,215","663,433","329,772","333,661","69,881","35,949","33,932","348,249","158,318","189,931","37,310,520","18,358,431","18,952,089"
        Bachelor's degree or higher,"179,546","76,931","102,615","32,567","14,496","18,071","289,672","130,289","159,383","103,047","44,728","58,319","2,022,139","948,596","1,073,543","367,985","176,129","191,856","192,917","86,591","106,326","42,938","18,839","24,099","71,921","35,654","36,267","886,321","389,813","496,508","499,590","209,534","290,056","70,752","29,194","41,558","74,849","35,576","39,273","688,229","316,585","371,644","263,566","115,987","147,579","137,729","61,409","76,320","136,686","62,261","74,425","163,031","69,159","93,872","169,088","69,313","99,775","57,501","23,046","34,455","357,522","155,183","202,339","435,178","198,836","236,342","409,240","183,018","226,222","317,075","144,986","172,089","88,298","35,083","53,215","269,005","118,181","150,824","52,310","25,182","27,128","100,959","47,163","53,796","110,524","50,729","59,795","70,757","30,019","40,738","552,392","254,511","297,881","70,402","30,655","39,747","1,066,716","473,606","593,110","480,498","206,331","274,167","36,595","16,300","20,295","487,467","215,205","272,262","146,428","64,907","81,521","230,864","104,104","126,760","591,678","261,680","329,998","47,598","20,740","26,858","203,380","86,757","116,623","34,623","16,077","18,546","278,653","118,993","159,660","1,327,190","600,740","726,450","169,257","87,858","81,399","31,482","13,775","17,707","504,184","229,169","275,015","415,426","196,877","218,549","59,337","25,989","33,348","268,461","113,852","154,609","24,659","10,696","13,963","132,895","46,887","86,008","15,688,232","7,051,332","8,636,900"
Population 45 to 64 years,"1,262,604","602,902","659,702","182,457","94,337","88,120","1,737,172","846,348","890,824","748,433","365,121","383,312","9,767,911","4,809,972","4,957,939","1,416,632","706,697","709,935","995,912","481,097","514,815","255,557","120,467","135,090","144,328","70,044","74,284","5,605,994","2,700,902","2,905,092","2,696,500","1,293,099","1,403,401","346,284","171,894","174,390","421,776","210,543","211,233","3,259,831","1,593,616","1,666,215","1,705,456","840,312","865,144","777,033","386,552","390,481","699,807","345,794","354,013","1,160,295","563,315","596,980","1,147,800","551,318","596,482","387,328","188,108","199,220","1,616,472","771,760","844,712","1,836,022","885,339","950,683","2,652,172","1,298,021","1,354,151","1,429,744","714,136","715,608","745,023","356,026","388,997","1,567,788","763,837","803,951","268,450","131,704","136,746","458,492","229,603","228,889","778,871","389,947","388,924","396,888","196,105","200,783","2,423,592","1,177,338","1,246,254","507,784","244,022","263,762","5,073,259","2,445,771","2,627,488","2,721,818","1,309,356","1,412,462","170,587","86,171","84,416","3,057,392","1,495,098","1,562,294","945,507","461,525","483,982","1,047,191","515,712","531,479","3,414,791","1,670,590","1,744,201","287,184","138,471","148,713","1,328,305","629,429","698,876","213,739","107,418","106,321","1,770,960","857,076","913,884","6,831,743","3,349,527","3,482,216","630,549","313,282","317,267","172,893","84,602","88,291","2,211,614","1,071,368","1,140,246","1,886,384","935,063","951,321","482,520","238,365","244,155","1,543,638","766,808","776,830","140,738","70,889","69,849","841,348","390,464","450,884","83,331,220","40,646,797","42,684,423"
        High school graduate or higher,"1,110,068","519,083","590,985","171,689","88,125","83,564","1,510,784","727,538","783,246","656,017","312,984","343,033","7,973,974","3,894,924","4,079,050","1,310,289","648,563","661,726","912,666","435,622","477,044","233,923","108,724","125,199","131,080","63,011","68,069","4,989,942","2,372,534","2,617,408","2,390,369","1,125,252","1,265,117","322,993","160,282","162,711","383,042","188,275","194,767","2,923,614","1,412,885","1,510,729","1,537,456","750,218","787,238","723,175","356,340","366,835","643,471","315,984","327,487","1,015,075","482,249","532,826","990,303","463,020","527,283","364,003","173,705","190,298","1,479,900","696,624","783,276","1,683,766","809,097","874,669","2,443,127","1,183,723","1,259,404","1,347,176","669,432","677,744","643,533","296,150","347,383","1,423,845","684,565","739,280","255,921","124,780","131,141","419,062","207,049","212,013","670,183","335,925","334,258","371,635","181,109","190,526","2,212,373","1,062,573","1,149,800","438,189","207,235","230,954","4,447,044","2,127,691","2,319,353","2,435,817","1,146,902","1,288,915","162,829","81,770","81,059","2,802,254","1,354,641","1,447,613","838,331","403,903","434,428","949,148","462,519","486,629","3,130,336","1,514,979","1,615,357","256,651","124,046","132,605","1,180,518","547,620","632,898","198,583","97,833","100,750","1,564,388","739,617","824,771","5,710,859","2,768,730","2,942,129","577,679","284,737","292,942","161,544","77,034","84,510","1,999,003","956,966","1,042,037","1,727,064","849,910","877,154","424,798","206,652","218,146","1,436,792","706,072","730,720","134,005","67,241","66,764","704,568","307,628","396,940","73,820,286","35,576,443","38,243,843"
        Bachelor's degree or higher,"332,863","149,883","182,980","55,151","24,440","30,711","515,055","244,862","270,193","165,833","72,431","93,402","3,214,763","1,569,923","1,644,840","592,914","289,595","303,319","388,742","179,232","209,510","86,700","38,985","47,715","69,026","35,515","33,511","1,694,215","789,569","904,646","888,060","403,721","484,339","113,684","52,280","61,404","116,368","55,711","60,657","1,104,866","518,751","586,115","440,762","211,322","229,440","209,693","97,382","112,311","231,218","107,532","123,686","272,822","121,819","151,003","264,969","113,083","151,886","121,713","51,529","70,184","655,326","300,875","354,451","792,522","370,902","421,620","769,145","361,807","407,338","511,605","239,590","272,015","164,492","65,541","98,951","455,524","210,626","244,898","84,021","38,575","45,446","140,843","66,256","74,587","193,913","92,897","101,016","140,684","64,176","76,508","974,740","464,722","510,018","137,513","60,023","77,490","1,758,672","809,799","948,873","866,927","393,475","473,452","48,905","21,417","27,488","858,061","399,763","458,298","244,387","112,067","132,320","343,271","162,749","180,522","1,042,279","487,545","554,734","94,673","43,928","50,745","374,596","166,507","208,089","61,967","28,728","33,239","492,949","223,280","269,669","2,035,877","994,404","1,041,473","212,879","114,881","97,998","63,473","27,583","35,890","872,686","411,537","461,149","661,521","324,976","336,545","94,707","41,229","53,478","458,144","211,269","246,875","37,792","17,684","20,108","246,849","91,580","155,269","26,523,511","12,456,376","14,067,135"
Population 65 years and over,"854,312","373,043","481,269","90,588","44,793","45,795","1,307,241","601,487","705,754","524,237","232,005","292,232","5,834,998","2,599,843","3,235,155","845,378","386,512","458,866","629,032","275,627","353,405","189,638","85,168","104,470","87,537","36,051","51,486","4,498,198","2,027,375","2,470,823","1,523,192","662,398","860,794","269,470","121,737","147,733","288,617","136,800","151,817","2,045,361","896,075","1,149,286","1,084,472","478,723","605,749","553,575","248,183","305,392","477,996","214,284","263,712","754,559","334,341","420,218","742,194","326,225","415,969","285,978","129,992","155,986","959,887","414,847","545,040","1,172,293","509,671","662,622","1,766,409","792,315","974,094","921,491","419,762","501,729","486,804","211,345","275,459","1,057,943","466,798","591,145","207,909","99,184","108,725","312,295","140,423","171,872","498,219","234,224","263,995","253,147","115,047","138,100","1,475,075","637,714","837,361","377,730","172,506","205,224","3,295,968","1,421,801","1,874,167","1,750,935","765,681","985,254","120,177","55,172","65,005","2,043,548","899,913","1,143,635","635,222","283,968","351,254","767,496","349,745","417,751","2,388,218","1,047,452","1,340,766","187,155","81,108","106,047","935,538","415,399","520,139","153,799","71,292","82,507","1,138,965","501,274","637,691","3,738,727","1,667,064","2,071,663","365,198","170,806","194,392","125,201","57,785","67,416","1,358,336","600,500","757,836","1,207,685","550,840","656,845","367,400","167,237","200,163","1,019,896","465,462","554,434","98,789","47,284","51,505","679,665","295,255","384,410","54,074,028","24,044,281","30,029,747"
        High school graduate or higher,"715,529","313,809","401,720","83,758","41,320","42,438","1,154,497","538,975","615,522","436,681","194,354","242,327","4,730,711","2,156,556","2,574,155","776,130","357,006","419,124","545,945","239,084","306,861","170,145","76,367","93,778","75,311","31,444","43,867","3,868,797","1,764,725","2,104,072","1,286,011","559,086","726,925","234,011","109,234","124,777","263,520","126,729","136,791","1,776,292","783,022","993,270","953,985","422,829","531,156","503,661","225,181","278,480","438,484","196,985","241,499","614,015","267,960","346,055","615,017","270,157","344,860","256,180","116,258","139,922","830,428","361,441","468,987","1,019,120","444,880","574,240","1,573,916","708,808","865,108","842,419","383,435","458,984","386,944","166,113","220,831","927,252","411,625","515,627","192,170","91,573","100,597","285,871","128,551","157,320","441,087","210,071","231,016","230,226","103,735","126,491","1,260,887","551,471","709,416","315,439","145,572","169,867","2,706,856","1,177,336","1,529,520","1,505,881","656,478","849,403","105,697","48,476","57,221","1,786,316","788,254","998,062","553,951","249,530","304,421","706,945","320,995","385,950","2,097,881","924,702","1,173,179","158,039","69,103","88,936","800,969","359,220","441,749","138,600","64,071","74,529","944,356","414,933","529,423","3,011,186","1,364,536","1,646,650","339,731","159,791","179,940","114,788","52,592","62,196","1,162,116","517,192","644,924","1,105,047","508,844","596,203","296,722","133,448","163,274","926,914","420,312","506,602","92,821","44,199","48,622","403,756","172,139","231,617","46,359,255","20,772,368","25,586,887"
