Label,Alaska_Count,Alaska_Male,Alaska_Female,Maine_Count,Maine_Male,Maine_Female,North Carolina_Count,North Carolina_Male,North Carolina_Female,Missouri_Count,Missouri_Male,Missouri_Female,Pennsylvania_Count,Pennsylvania_Male,Pennsylvania_Female,Michigan_Count,Michigan_Male,Michigan_Female,Nebraska_Count,Nebraska_Male,Nebraska_Female,Oregon_Count,Oregon_Male,Oregon_Female,Wyoming_Count,Wyoming_Male,Wyoming_Female,California_Count,California_Male,California_Female,Mississippi_Count,Mississippi_Male,Mississippi_Female,Connecticut_Count,Connecticut_Male,Connecticut_Female,Texas_Count,Texas_Male,Texas_Female,Idaho_Count,Idaho_Male,Idaho_Female,Maryland_Count,Maryland_Male,Maryland_Female,New Mexico_Count,New Mexico_Male,New Mexico_Female,Alabama_Count,Alabama_Male,Alabama_Female,Tennessee_Count,Tennessee_Male,Tennessee_Female,Vermont_Count,Vermont_Male,Vermont_Female,Nevada_Count,Nevada_Male,Nevada_Female,West Virginia_Count,West Virginia_Male,West Virginia_Female,Oklahoma_Count,Oklahoma_Male,Oklahoma_Female,Wisconsin_Count,Wisconsin_Male,Wisconsin_Female,Puerto Rico_Count,Puerto Rico_Male,Puerto Rico_Female,Kansas_Count,Kansas_Male,Kansas_Female,Virginia_Count,Virginia_Male,Virginia_Female,North Dakota_Count,North Dakota_Male,North Dakota_Female,New Jersey_Count,New Jersey_Male,New Jersey_Female,Ohio_Count,Ohio_Male,Ohio_Female,South Carolina_Count,South Carolina_Male,South Carolina_Female,Georgia_Count,Georgia_Male,Georgia_Female,Colorado_Count,Colorado_Male,Colorado_Female,Hawaii_Count,Hawaii_Male,Hawaii_Female,South Dakota_Count,South Dakota_Male,South Dakota_Female,Indiana_Count,Indiana_Male,Indiana_Female,Kentucky_Count,Kentucky_Male,Kentucky_Female,Louisiana_Count,Louisiana_Male,Louisiana_Female,Washington_Count,Washington_Male,Washington_Female,Illinois_Count,Illinois_Male,Illinois_Female,Iowa_Count,Iowa_Male,Iowa_Female,New Hampshire_Count,New Hampshire_Male,New Hampshire_Female,Rhode Island_Count,Rhode Island_Male,Rhode Island_Female,Arkansas_Count,Arkansas_Male,Arkansas_Female,Delaware_Count,Delaware_Male,Delaware_Female,Minnesota_Count,Minnesota_Male,Minnesota_Female,Montana_Count,Montana_Male,Montana_Female,Arizona_Count,Arizona_Male,Arizona_Female,Florida_Count,Florida_Male,Florida_Female,Massachusetts_Count,Massachusetts_Male,Massachusetts_Female,District of Columbia_Count,District of Columbia_Male,District of Columbia_Female,Utah_Count,Utah_Male,Utah_Female,New York_Count,New York_Male,New York_Female
        Bachelor's degree or higher,"1,129",609,520,N,N,N,"20,766","9,951","10,815","5,420","2,662","2,758","23,293","10,198","13,095","12,653","6,728","5,925","2,935","1,437","1,498","7,014","3,190","3,824",364,134,230,"351,442","159,688","191,754","2,332","1,091","1,241","14,711","7,277","7,434","115,045","53,800","61,245","1,886","1,060",826,"23,971","9,700","14,271","11,617","4,591","7,026","4,854","2,122","2,732","7,579","3,585","3,994",736,176,560,"19,374","8,516","10,858",423,135,288,"4,795","2,158","2,637","5,340","2,057","3,283","90,554","32,998","57,556","4,428","1,948","2,480","19,146","8,164","10,982","1,352","1,042",310,"51,061","24,813","26,248","10,036","4,847","5,189","6,806","3,832","2,974","23,656","11,463","12,193","15,883","7,917","7,966","4,240","1,721","2,519",460,373,87,"8,250","3,068","5,182","2,792","1,620","1,172","3,918","1,237","2,681","19,713","9,088","10,625","43,418","17,822","25,596","2,461","1,192","1,269",886,454,432,"5,263","2,466","2,797","3,488","2,176","1,312","1,125",525,600,"7,170","3,565","3,605","1,236",774,462,"24,687","10,234","14,453","87,225","38,116","49,109","27,665","12,022","15,643","5,641","2,733","2,908","11,485","5,183","6,302","161,325","68,468","92,857"
    Two or more races,"25,355","13,232","12,123","15,793","7,135","8,658","113,394","55,401","57,993","67,443","30,744","36,699","126,153","62,060","64,093","119,568","58,326","61,242","21,362","11,191","10,171","94,104","46,032","48,072","6,649","3,468","3,181","924,439","453,848","470,591","14,709","7,417","7,292","46,841","20,697","26,144","333,200","168,016","165,184","23,269","11,499","11,770","96,821","45,615","51,206","31,400","16,575","14,825","43,892","19,443","24,449","55,786","24,240","31,546","6,630","3,153","3,477","67,795","31,871","35,924","12,276","6,227","6,049","136,633","66,063","70,570","52,933","26,417","26,516","108,056","49,277","58,779","38,353","19,979","18,374","137,904","64,340","73,564","7,587","3,882","3,705","107,118","51,240","55,878","126,872","63,998","62,874","43,712","21,056","22,656","110,655","53,884","56,771","98,915","47,916","50,999","180,730","92,039","88,691","8,560","4,704","3,856","62,514","28,618","33,896","36,712","16,730","19,982","38,505","18,597","19,908","196,877","96,737","100,140","136,617","66,309","70,308","19,935","9,111","10,824","12,913","7,262","5,651","13,308","7,256","6,052","35,377","17,680","17,697","9,575","5,621","3,954","60,967","30,338","30,629","15,630","7,837","7,793","126,129","62,921","63,208","271,212","126,924","144,288","105,584","50,246","55,338","14,161","6,597","7,564","36,273","17,978","18,295","311,460","143,397","168,063"
        High school graduate or higher,"23,867","12,552","11,315","14,676","6,597","8,079","100,590","47,833","52,757","60,500","26,755","33,745","112,758","55,579","57,179","105,441","51,032","54,409","17,381","8,835","8,546","83,539","40,135","43,404","5,790","2,904","2,886","820,447","401,730","418,717","12,536","5,864","6,672","40,966","17,450","23,516","297,618","149,195","148,423","21,145","10,224","10,921","87,911","40,772","47,139","27,380","13,605","13,775","36,589","16,117","20,472","50,327","21,169","29,158","5,964","2,812","3,152","61,236","28,945","32,291","10,637","5,489","5,148","122,556","58,575","63,981","46,775","22,851","23,924","81,418","35,827","45,591","34,938","18,016","16,922","123,780","57,864","65,916","6,883","3,700","3,183","93,786","44,695","49,091","114,123","56,186","57,937","37,945","17,765","20,180","99,390","47,702","51,688","88,491","42,566","45,925","170,677","85,780","84,897","7,743","4,241","3,502","53,649","24,389","29,260","31,212","14,192","17,020","34,494","16,687","17,807","183,378","88,649","94,729","122,590","58,589","64,001","17,888","8,015","9,873","11,272","6,533","4,739","11,237","5,971","5,266","30,768","14,810","15,958","8,109","5,012","3,097","55,884","27,523","28,361","14,536","7,183","7,353","109,663","53,981","55,682","240,515","111,122","129,393","85,728","41,185","44,543","13,425","6,439","6,986","33,958","16,390","17,568","257,856","114,232","143,624"
        Bachelor's degree or higher,"6,002","2,680","3,322","4,083","1,779","2,304","36,024","16,422","19,602","19,697","7,775","11,922","35,318","16,489","18,829","32,489","15,536","16,953","5,850","2,968","2,882","27,405","11,385","16,020",893,316,577,"321,461","149,509","171,952","4,598","2,093","2,505","15,677","6,038","9,639","112,889","54,938","57,951","6,046","2,586","3,460","42,106","18,968","23,138","8,863","4,407","4,456","11,118","4,955","6,163","18,236","7,365","10,871","3,249","1,305","1,944","17,711","7,884","9,827","2,953","1,734","1,219","34,583","15,026","19,557","15,753","7,567","8,186","27,618","9,667","17,951","11,317","5,473","5,844","52,727","23,938","28,789","2,337","1,302","1,035","43,871","19,542","24,329","33,684","15,554","18,130","12,437","5,433","7,004","42,137","19,541","22,596","35,581","16,151","19,430","46,157","19,827","26,330","2,893","1,255","1,638","17,536","8,229","9,307","8,999","4,390","4,609","11,479","4,594","6,885","70,093","31,881","38,212","51,971","24,718","27,253","6,306","2,969","3,337","4,175","2,262","1,913","3,822","1,824","1,998","6,537","3,283","3,254","2,675","1,497","1,178","21,344","10,349","10,995","3,366","1,483","1,883","37,294","17,106","20,188","89,149","37,574","51,575","40,375","18,121","22,254","9,717","4,119","5,598","11,130","5,275","5,855","114,930","48,092","66,838"
    Hispanic or Latino Origin,"28,378","14,471","13,907","12,489","6,157","6,332","495,232","254,609","240,623","131,480","66,537","64,943","523,671","262,474","261,197","267,377","136,317","131,060","104,604","53,327","51,277","290,725","150,854","139,871","32,772","16,480","16,292","9,037,686","4,506,225","4,531,461","45,078","25,677","19,401","339,273","165,130","174,143","6,392,830","3,176,616","3,216,214","111,099","58,626","52,473","348,979","180,932","168,047","623,425","304,630","318,795","105,067","53,726","51,341","182,172","97,716","84,456","7,156","3,239","3,917","497,660","251,980","245,680","14,498","8,030","6,468","207,482","110,343","97,139","205,592","107,281","98,311","2,256,264","1,037,461","1,218,803","175,046","89,989","85,057","450,985","230,453","220,532","14,853","8,599","6,254","1,119,433","554,662","564,771","233,733","118,728","115,005","153,094","80,709","72,385","527,401","275,766","251,635","694,356","351,929","342,427","76,137","38,038","38,099","16,245","9,006","7,239","240,030","125,006","115,024","81,491","43,029","38,462","138,684","74,963","63,721","493,532","255,527","238,005","1,242,292","638,927","603,365","91,011","45,828","45,183","28,896","14,439","14,457","93,388","46,268","47,120","111,297","57,671","53,626","48,602","25,090","23,512","154,720","79,851","74,869","21,798","10,043","11,755","1,252,401","623,244","629,157","3,686,245","1,781,397","1,904,848","478,481","232,599","245,882","49,691","25,478","24,213","225,245","115,489","109,756","2,340,922","1,131,098","1,209,824"
        High school graduate or higher,"25,237","13,006","12,231","11,373","5,813","5,560","309,475","148,953","160,522","102,429","52,723","49,706","380,226","186,149","194,077","196,007","96,609","99,398","68,885","33,867","35,018","186,207","92,523","93,684","26,776","12,876","13,900","5,937,394","2,923,502","3,013,892","29,908","16,740","13,168","249,631","117,300","132,331","4,280,442","2,090,265","2,190,177","70,906","36,631","34,275","238,305","119,870","118,435","477,806","226,996","250,810","71,548","35,161","36,387","118,380","61,154","57,226","6,518","2,909","3,609","337,633","168,790","168,843","11,491","6,275","5,216","133,400","67,269","66,131","144,221","71,458","72,763","1,745,822","779,802","966,020","111,378","55,571","55,807","325,722","160,982","164,740","12,410","6,967","5,443","846,160","413,430","432,730","178,789","87,451","91,338","106,464","54,144","52,320","331,839","169,391","162,448","509,237","256,409","252,828","69,520","34,118","35,402","10,834","5,937","4,897","165,083","82,165","82,918","55,639","28,669","26,970","101,094","54,602","46,492","328,378","164,922","163,456","864,191","435,120","429,071","58,471","28,767","29,704","22,421","11,154","11,267","70,114","33,228","36,886","66,898","33,624","33,274","30,272","15,031","15,241","106,577","52,557","54,020","19,386","8,597","10,789","891,217","439,483","451,734","2,950,840","1,406,441","1,544,399","337,218","162,029","175,189","38,329","19,974","18,355","164,880","84,773","80,107","1,669,912","799,997","869,915"
        Bachelor's degree or higher,"7,187","3,259","3,928","4,502","1,458","3,044","77,941","36,577","41,364","30,720","14,853","15,867","92,717","42,424","50,293","52,235","25,920","26,315","14,757","6,803","7,954","46,455","21,126","25,329","3,237","1,291","1,946","1,225,685","549,084","676,601","7,639","3,456","4,183","59,071","26,524","32,547","970,825","434,376","536,449","10,789","5,450","5,339","79,135","37,975","41,160","98,422","42,820","55,602","21,159","10,132","11,027","32,290","15,897","16,393","2,930",725,"2,205","57,406","27,600","29,806","2,933","1,354","1,579","24,330","11,758","12,572","31,099","12,567","18,532","599,107","232,464","366,643","23,442","11,334","12,108","112,365","54,373","57,992","2,618","1,759",859,"233,731","106,150","127,581","44,812","20,424","24,388","26,397","11,896","14,501","94,598","42,670","51,928","116,774","53,853","62,921","21,346","9,068","12,278","2,365","1,512",853,"35,220","15,501","19,719","16,352","8,314","8,038","26,030","12,197","13,833","80,473","38,433","42,040","185,498","83,425","102,073","13,283","6,406","6,877","6,252","3,298","2,954","14,887","6,892","7,995","13,332","6,741","6,591","8,046","3,839","4,207","28,283","13,792","14,491","5,424","1,988","3,436","171,950","79,093","92,857","938,834","427,276","511,558","101,392","43,887","57,505","27,572","14,243","13,329","36,684","16,257","20,427","468,681","202,602","266,079"
POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Less than high school graduate,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    High school graduate (includes equivalency),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    Some college or associate's degree,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    Bachelor's degree or higher,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population 25 years and over with earnings,"46,189","51,904","38,823","37,290","41,846","32,620","36,882","42,033","31,821","37,641","44,727","31,817","41,258","49,087","34,281","39,208","46,890","31,734","40,310","46,246","32,353","40,148","45,753","34,092","40,159","49,882","29,876","42,156","49,434","36,484","33,417","40,917","28,049","50,202","57,490","41,303","39,909","46,128","32,144","35,694","41,955","27,947","50,791","56,891","43,874","32,779","37,776","27,988","36,084","43,952","29,529","36,410","41,902","31,054","39,521","43,604","35,199","37,600","41,612","33,785","33,375","41,146","27,183","35,989","42,587","29,960","41,273","48,413","34,742","18,308","18,350","18,259","39,658","46,726","31,925","45,865","52,702","38,626","44,738","51,882","35,825","50,913","60,183","41,869","40,052","46,939","32,376","35,650","41,550","30,533","39,150","45,526","32,256","44,885","51,372","37,233","41,737","48,622","36,420","36,836","42,207","31,178","38,825","46,545","31,417","36,310","42,034","30,877","36,602","46,394","29,238","46,329","55,129","37,266","42,583","51,113","35,785","40,709","48,384","32,639","45,069","54,151","36,779","45,283","51,957","38,166","35,209","40,411","30,300","40,661","45,538","34,867","45,120","51,411","38,585","34,949","41,508","29,360","37,464","42,527","32,626","35,254","40,065","31,012","51,070","60,441","42,305","66,589","72,186","61,862","41,127","51,572","30,357","45,764","51,253","40,527"
        Less than high school graduate,"25,840","28,335","22,465","25,581","30,582","17,364","22,784","25,908","17,080","24,461","28,336","19,491","26,096","30,980","20,003","22,405","27,124","17,061","29,051","33,234","20,669","26,327","30,717","20,880","25,838","33,760","14,736","24,263","28,225","18,510","21,680","26,676","14,527","25,769","30,300","20,751","24,047","30,042","16,629","26,050","31,733","17,625","27,088","32,224","20,537","20,626","24,003","12,750","22,738","27,126","16,287","22,122","26,355","17,599","29,376","32,181","13,094","28,814","31,710","22,148","24,872","26,997","18,292","24,881","29,979","16,937","28,345","32,857","20,848","10,347","10,723","8,823","26,462","30,896","18,975","24,900","29,928","18,794","29,625","36,513","18,126","24,963","30,484","18,126","22,929","28,751","17,146","21,180","24,981","15,983","23,946","28,174","19,218","29,312","34,702","21,364","26,337","32,525","21,986","24,899","30,548","20,372","25,560","30,960","19,025","21,639","24,649","16,812","21,282","26,897","16,272","28,613","33,759","21,844","26,046","30,902","20,363","29,980","33,443","21,531","27,551","31,625","22,692","30,423","38,500","22,573","23,899","27,626","19,183","24,961","30,002","20,300","27,244","32,182","21,491","20,339","26,819","13,824","23,893","26,996","19,989","22,097","26,294","17,728","26,686","31,349","22,790","25,601","27,241","20,563","27,432","34,289","18,834","23,749","27,350","18,691"
        High school graduate (includes equivalency),"35,328","41,221","26,962","30,726","35,685","23,924","28,401","32,489","22,260","30,417","36,125","24,039","31,870","39,936","25,508","30,274","35,643","23,622","30,587","37,422","23,270","31,098","36,347","25,281","35,160","42,500","22,651","31,954","37,216","26,211","27,238","33,321","20,268","35,446","41,815","29,031","30,804","36,373","24,037","30,790","36,052","22,644","35,780","41,992","30,034","26,953","31,456","21,270","29,436","36,009","21,743","30,074","34,976","24,246","31,453","36,907","23,928","32,039","36,416","28,102","30,250","37,283","21,741","30,193","36,792","22,654","32,708","40,173","25,828","14,767","15,487","12,522","30,792","36,356","22,553","31,831","37,564","25,030","36,576","43,038","26,586","34,431","41,717","27,460","31,372","38,353","24,472","27,686","32,085","22,780","30,400","34,876","24,540","35,013","40,431","27,981","35,307","40,439","30,607","31,037","36,171","24,309","32,171","40,583","24,692","30,213","35,802","22,370","29,383","40,430","21,952","35,865","41,933","28,668","31,625","38,753","25,023","32,367","40,815","24,291","35,200","42,336","26,328","35,673","42,360","29,604","29,805","34,049","22,496","32,173","37,352","26,765","33,173","40,203","26,658","27,583","33,149","21,828","30,617","33,353","25,871","27,900","31,663","23,407","36,248","44,064","28,154","31,165","31,794","30,609","33,406","41,600","25,831","32,286","38,605","26,412"
        Some college or associate's degree,"44,619","50,805","36,716","36,221","42,558","31,556","33,982","41,033","29,316","34,718","41,528","29,767","37,372","46,511","31,192","35,414","44,171","29,370","36,808","45,538","30,188","36,161","41,889","30,579","35,766","50,953","27,469","39,614","46,948","32,608","31,695","40,688","26,072","41,716","50,761","35,422","37,027","45,735","31,216","32,871","41,502","26,231","42,074","50,478","36,646","30,800","37,080","24,981","32,826","43,228","26,923","33,760","41,919","28,232","36,907","42,345","33,434","38,018","42,457","33,636","31,250","41,413","25,732","34,382","42,256","27,288","38,747","47,320","31,875","16,979","19,056","15,659","35,549","44,121","28,635","39,440","47,461","31,867","42,018","51,859","32,199","42,079","51,474","35,177","35,933","43,701","30,609","32,980","41,343","28,059","35,172","42,407","29,525","39,129","46,730","32,353","40,013","46,279","33,618","35,984","42,101","30,589","36,435","46,125","30,036","34,070","41,778","28,699","35,199","46,590","27,884","40,755","50,541","32,328","37,827","47,692","30,839","36,699","46,129","30,082","41,801","51,721","35,021","41,218","50,305","35,458","32,401","39,147","29,153","36,893","44,599","31,464","40,837","48,779","34,369","31,601","39,452","27,096","36,486","42,559","31,429","33,334","39,045","30,232","41,221","50,439","34,933","37,064","38,457","36,411","37,148","48,318","27,224","40,458","47,960","34,177"
        Bachelor's degree,"57,708","72,239","49,430","43,809","50,824","39,346","49,295","61,601","41,442","50,659","61,151","41,940","52,668","63,743","45,834","52,352","67,074","42,628","50,032","57,853","42,052","51,699","61,680","42,787","47,980","56,213","43,354","62,347","75,350","52,571","42,497","55,584","36,966","64,398","77,382","52,455","55,437","67,259","49,005","44,469","56,483","37,586","63,399","75,723","54,227","45,861","53,694","40,442","50,081","63,089","40,870","48,256","60,102","41,443","43,198","51,227","40,370","48,779","56,838","42,011","41,804","50,824","35,333","46,162","60,202","38,745","51,879","64,678","44,628","24,570","30,133","22,628","49,852","61,752","41,299","60,105","73,448","49,399","50,976","62,361","42,860","65,658","79,360","55,702","52,613","65,755","44,604","49,131","60,735","40,851","54,692","68,442","45,433","54,937","67,257","45,945","50,463","60,577","44,720","45,177","53,911","39,642","49,851","62,140","41,206","50,146","59,617","41,160","50,273","61,403","42,567","61,135","75,974","49,957","57,357","70,862","48,688","51,620","62,472","44,010","57,015","75,536","43,932","56,513","67,387","48,983","46,919","58,297","41,124","52,267","64,713","48,418","57,806","70,299","50,122","42,224","51,293","37,042","51,576","62,789","43,836","46,380","54,482","40,960","62,154","74,818","52,156","68,183","75,529","61,771","49,238","66,005","35,253","60,985","70,370","52,888"
        Graduate or professional degree,"77,402","91,671","66,414","60,013","66,514","55,061","62,888","85,824","52,460","61,244","79,974","52,216","71,209","86,241","61,803","71,057","90,097","60,108","62,451","75,434","57,714","69,381","83,465","60,376","57,555","69,990","51,701","90,204","104,035","76,281","55,339","70,227","50,125","83,968","102,012","71,133","71,167","89,921","60,570","61,876","77,470","51,527","86,118","102,083","74,180","61,635","79,290","54,761","61,177","84,519","52,156","61,543","77,950","53,251","60,524","68,226","56,970","67,845","76,739","61,442","55,120","65,233","50,701","58,154","75,076","49,853","65,974","77,685","59,019","33,911","40,068","30,446","61,361","77,273","52,291","82,600","103,905","66,151","64,310","74,010","60,681","89,332","109,510","73,106","67,945","81,020","61,048","58,079","75,665","51,082","67,375","86,461","59,203","68,181","85,602","56,506","69,668","84,133","60,262","56,641","70,213","51,458","62,726","76,013","55,069","56,623","67,529","52,320","57,058","75,237","51,066","80,520","101,005","65,937","75,802","95,265","64,137","67,140","78,500","61,221","70,885","91,763","62,784","71,954","81,707","67,410","61,185","80,255","53,029","70,036","90,061","63,545","73,062","85,371","65,586","56,959","67,457","50,977","66,004","81,550","55,622","61,748","78,851","52,140","81,469","101,067","70,561","100,698","114,377","90,096","72,603","90,701","53,893","77,469","92,345","70,156"
