Label,Maine_Count,North Carolina_Count,Georgia_Count,Alaska_Count,Alabama_Count,Vermont_Count,Nevada_Count,West Virginia_Count,Oklahoma_Count,Wisconsin_Count,Puerto Rico_Count,Virginia_Count,North Dakota_Count,South Carolina_Count,Oregon_Count,Wyoming_Count,California_Count,Mississippi_Count,Connecticut_Count,Texas_Count,Maryland_Count,Florida_Count,Massachusetts_Count,District of Columbia_Count,Utah_Count,New York_Count,New Jersey_Count,Ohio_Count,Missouri_Count,Pennsylvania_Count,Michigan_Count,Nebraska_Count,Idaho_Count,New Mexico_Count,Hawaii_Count,South Dakota_Count,Washington_Count,Rhode Island_Count,Arizona_Count,Tennessee_Count,Kansas_Count,Colorado_Count,Indiana_Count,Kentucky_Count,Louisiana_Count,Illinois_Count,Iowa_Count,New Hampshire_Count,Arkansas_Count,Delaware_Count,Minnesota_Count,Montana_Count
            Bachelor's degree,655,"4,146","3,219",269,597,156,605,592,749,"1,633",895,"1,756",243,"1,858",556,213,"15,820",966,"1,387","9,831","2,273","11,045","3,359",381,761,"7,970","3,017","2,100","1,763","3,525","2,396",829,348,322,"1,235",154,"2,245",230,"2,706","2,061",847,"1,821","1,273","1,204","1,254","4,493",852,238,526,266,"1,410",262
            Graduate or professional degree,180,976,"2,205",0,450,135,240,0,148,485,451,"1,017",82,869,225,0,"4,566",29,535,"2,621","1,236","2,911",663,146,0,"3,383","1,019",717,390,"2,164","1,002",113,0,272,304,78,435,85,746,341,68,942,179,461,216,"1,228",253,337,272,25,"1,184",0
Women who did not have a birth in the past 12 months:,"267,660","2,349,592","2,497,144","161,243","1,077,449","132,197","674,919","370,357","858,688","1,230,754","724,116","1,935,798","159,812","1,108,237","935,961","119,557","9,193,145","674,711","783,148","6,700,503","1,367,283","4,476,766","1,598,770","203,161","740,610","4,465,830","1,952,708","2,503,871","1,315,527","2,723,306","2,146,857","414,783","375,913","445,500","297,893","181,952","1,690,572","241,042","1,547,446","1,510,719","615,938","1,305,395","1,462,071","964,831","1,036,654","2,850,720","668,334","286,336","654,958","206,831","1,200,184","216,472"
        Now married (including separated and spouse absent):,"111,881","1,020,323","1,020,024","76,063","461,942","54,733","279,467","160,499","393,150","523,398","205,797","867,990","75,753","453,353","409,755","56,581","3,811,030","268,128","304,347","2,974,595","562,719","1,776,113","620,174","48,985","378,026","1,719,302","844,581","1,018,040","584,971","1,128,765","869,034","195,095","182,205","176,987","137,790","81,324","784,706","83,893","632,470","668,001","288,726","594,420","632,780","444,757","388,757","1,172,289","299,581","122,664","290,367","79,392","534,374","98,157"
            Less than high school graduate,"3,694","79,827","95,240","3,369","37,860","1,207","36,984","10,576","35,736","29,323","10,788","55,464","3,547","31,371","35,430","1,616","554,686","23,334","16,322","415,487","38,121","142,829","36,862","2,894","21,410","162,593","57,187","57,521","37,318","69,514","52,552","14,284","14,656","22,539","6,308","4,057","58,565","5,597","78,527","52,851","22,205","42,974","48,980","31,898","30,641","87,115","19,100","3,321","23,908","6,141","27,309","3,365"
            High school graduate (includes equivalency),"22,644","174,774","195,936","16,455","103,005","9,823","73,117","49,419","96,822","88,605","44,363","143,511","11,367","98,556","70,066","12,707","693,761","52,102","53,347","632,300","92,385","408,646","90,668","4,367","73,160","332,872","141,404","215,601","107,239","236,006","158,030","30,643","39,314","37,196","30,898","14,654","131,898","16,192","121,734","155,762","43,949","93,170","139,630","104,716","100,725","204,629","52,312","22,497","66,819","19,416","66,584","18,997"
            Some college or associate's degree,"36,286","333,568","299,036","28,900","162,344","15,983","87,069","53,247","134,376","176,355","60,482","235,180","27,622","148,065","132,576","22,762","1,044,564","99,208","66,367","839,601","134,175","539,139","129,197","4,594","143,970","406,288","175,986","312,651","191,109","296,581","293,254","62,586","66,447","58,831","44,151","28,647","242,673","23,862","210,652","210,546","95,729","169,528","200,564","156,488","117,481","320,363","100,854","35,512","103,710","19,646","169,036","36,310"
            Bachelor's degree,"31,599","273,976","257,788","17,107","100,186","16,128","54,965","27,462","86,758","148,076","59,843","242,696","23,558","109,847","106,262","12,800","918,213","58,852","88,710","705,976","153,526","436,118","188,582","12,627","105,653","418,933","271,283","257,434","148,954","305,085","220,686","56,356","45,783","34,081","37,510","25,048","211,410","20,321","144,188","155,772","82,644","178,848","161,147","86,374","90,235","324,915","86,664","36,950","62,325","18,592","175,165","25,826"
            Graduate or professional degree,"17,658","158,178","172,024","10,232","58,547","11,592","27,332","19,795","39,458","81,039","30,321","191,139","9,659","65,514","65,421","6,696","599,806","34,632","79,601","381,231","144,512","249,381","174,865","24,503","33,833","398,616","198,721","174,833","100,351","221,579","144,512","31,226","16,005","24,340","18,923","8,918","140,160","17,921","77,369","93,070","44,199","109,900","82,459","65,281","49,675","235,267","40,651","24,384","33,605","15,597","96,280","13,659"
"        Unmarried (never married, widowed and divorced):","155,779","1,329,269","1,477,120","85,180","615,507","77,464","395,452","209,858","465,538","707,356","518,319","1,067,808","84,059","654,884","526,206","62,976","5,382,115","406,583","478,801","3,725,908","804,564","2,700,653","978,596","154,176","362,584","2,746,528","1,108,127","1,485,831","730,556","1,594,541","1,277,823","219,688","193,708","268,513","160,103","100,628","905,866","157,149","914,976","842,718","327,212","710,975","829,291","520,074","647,897","1,678,431","368,753","163,672","364,591","127,439","665,810","118,315"
            Less than high school graduate,"28,428","296,062","341,772","18,953","148,138","13,471","95,141","46,789","115,946","151,799","93,701","220,838","15,780","141,306","111,823","17,291","1,184,024","94,125","94,189","942,797","159,325","581,999","181,532","13,102","99,075","537,068","238,079","329,808","167,514","327,049","276,402","50,629","50,634","66,219","29,391","26,190","201,706","26,269","222,848","185,437","79,274","150,830","208,827","120,334","149,642","353,381","83,220","33,029","88,975","28,487","144,903","26,841"
            High school graduate (includes equivalency),"35,863","267,545","326,151","25,342","147,796","17,328","105,454","58,099","118,811","156,589","114,213","220,569","15,186","161,756","101,707","13,263","1,058,621","88,181","105,705","843,471","162,927","623,013","176,475","26,863","77,879","512,833","221,905","357,410","161,292","409,881","288,332","46,665","45,169","63,399","37,197","21,998","171,580","38,694","206,043","220,066","63,498","132,379","193,160","126,333","177,365","347,542","76,606","40,010","94,707","35,183","118,282","24,763"
            Some college or associate's degree,"54,605","462,940","487,718","25,738","217,585","25,274","131,730","74,095","157,013","248,391","178,249","338,091","36,161","229,571","184,283","21,730","1,797,809","161,889","152,392","1,201,815","254,644","905,966","291,210","30,297","125,419","794,359","319,613","499,497","256,793","479,528","463,287","74,202","66,440","95,609","53,825","33,732","308,738","55,770","316,466","272,346","116,680","210,682","277,309","184,110","210,818","533,428","137,274","52,241","128,804","38,533","229,361","40,512"
            Bachelor's degree,"28,224","219,244","221,894","11,312","76,237","16,263","46,756","22,539","52,400","114,885","102,643","194,160","14,232","89,219","92,106","7,785","985,756","43,849","86,393","537,482","146,460","421,887","225,768","46,073","44,787","600,609","239,210","218,936","100,165","270,411","185,381","37,062","23,902","29,948","29,002","15,009","159,913","26,192","121,623","118,725","47,691","160,491","116,880","60,666","76,834","309,441","55,364","27,510","37,698","16,263","130,756","18,974"
            Graduate or professional degree,"8,659","83,478","99,585","3,835","25,751","5,128","16,371","8,336","21,368","35,692","29,513","94,150","2,700","33,032","36,287","2,907","355,905","18,539","40,122","200,343","81,208","167,788","103,611","37,841","15,424","301,659","89,320","80,180","44,792","107,672","64,421","11,130","7,563","13,338","10,688","3,699","63,929","10,224","47,996","46,144","20,069","56,593","33,115","28,631","33,238","134,639","16,289","10,882","14,407","8,973","42,508","7,225"
