Label,Alabama_Count,Alabama_Male,Alabama_Female,Alaska_Count,Alaska_Male,Alaska_Female,Arizona_Count,Arizona_Male,Arizona_Female,Arkansas_Count,Arkansas_Male,Arkansas_Female,California_Count,California_Male,California_Female,Colorado_Count,Colorado_Male,Colorado_Female,Connecticut_Count,Connecticut_Male,Connecticut_Female,Delaware_Count,Delaware_Male,Delaware_Female,District of Columbia_Count,District of Columbia_Male,District of Columbia_Female,Florida_Count,Florida_Male,Florida_Female,Georgia_Count,Georgia_Male,Georgia_Female,Hawaii_Count,Hawaii_Male,Hawaii_Female,Idaho_Count,Idaho_Male,Idaho_Female,Illinois_Count,Illinois_Male,Illinois_Female,Indiana_Count,Indiana_Male,Indiana_Female,Iowa_Count,Iowa_Male,Iowa_Female,Kansas_Count,Kansas_Male,Kansas_Female,Kentucky_Count,Kentucky_Male,Kentucky_Female,Louisiana_Count,Louisiana_Male,Louisiana_Female,Maine_Count,Maine_Male,Maine_Female,Maryland_Count,Maryland_Male,Maryland_Female,Massachusetts_Count,Massachusetts_Male,Massachusetts_Female,Michigan_Count,Michigan_Male,Michigan_Female,Minnesota_Count,Minnesota_Male,Minnesota_Female,Mississippi_Count,Mississippi_Male,Mississippi_Female,Missouri_Count,Missouri_Male,Missouri_Female,Montana_Count,Montana_Male,Montana_Female,Nebraska_Count,Nebraska_Male,Nebraska_Female,Nevada_Count,Nevada_Male,Nevada_Female,New Hampshire_Count,New Hampshire_Male,New Hampshire_Female,New Jersey_Count,New Jersey_Male,New Jersey_Female,New Mexico_Count,New Mexico_Male,New Mexico_Female,New York_Count,New York_Male,New York_Female,North Carolina_Count,North Carolina_Male,North Carolina_Female,North Dakota_Count,North Dakota_Male,North Dakota_Female,Ohio_Count,Ohio_Male,Ohio_Female,Oklahoma_Count,Oklahoma_Male,Oklahoma_Female,Oregon_Count,Oregon_Male,Oregon_Female,Pennsylvania_Count,Pennsylvania_Male,Pennsylvania_Female,Rhode Island_Count,Rhode Island_Male,Rhode Island_Female,South Carolina_Count,South Carolina_Male,South Carolina_Female,South Dakota_Count,South Dakota_Male,South Dakota_Female,Tennessee_Count,Tennessee_Male,Tennessee_Female,Texas_Count,Texas_Male,Texas_Female,Utah_Count,Utah_Male,Utah_Female,Vermont_Count,Vermont_Male,Vermont_Female,Virginia_Count,Virginia_Male,Virginia_Female,Washington_Count,Washington_Male,Washington_Female,West Virginia_Count,West Virginia_Male,West Virginia_Female,Wisconsin_Count,Wisconsin_Male,Wisconsin_Female,Wyoming_Count,Wyoming_Male,Wyoming_Female,Puerto Rico_Count,Puerto Rico_Male,Puerto Rico_Female
"    Some college, no degree","709,100","327,801","381,299","126,985","65,565","61,420","1,178,809","560,568","618,241","443,935","202,599","241,336","5,641,881","2,766,398","2,875,483","798,831","396,421","402,410","411,854","192,063","219,791","127,966","59,235","68,731","62,009","27,278","34,731","2,982,278","1,424,389","1,557,889","1,394,047","640,019","754,028","204,452","107,102","97,350","291,857","136,704","155,153","1,794,526","871,338","923,188","896,138","431,223","464,915","440,516","213,202","227,314","432,206","211,004","221,202","644,270","298,263","346,007","666,998","311,150","355,848","184,416","91,567","92,849","788,808","365,018","423,790","743,218","351,818","391,400","1,594,025","768,725","825,300","788,988","387,672","401,316","431,185","200,360","230,825","912,962","427,276","485,686","170,207","82,918","87,289","291,423","137,440","153,983","518,529","255,619","262,910","171,011","82,895","88,116","1,014,640","500,580","514,060","333,280","159,290","173,990","2,133,828","1,043,342","1,090,486","1,487,938","684,993","802,945","111,306","57,461","53,845","1,612,818","783,006","829,812","603,902","286,036","317,866","730,804","345,144","385,660","1,416,816","681,593","735,223","124,664","55,054","69,610","698,438","319,932","378,506","126,282","61,391","64,891","953,734","436,493","517,241","3,932,201","1,877,903","2,054,298","469,981","228,696","241,285","73,895","33,906","39,989","1,095,931","505,956","589,975","1,203,615","584,902","618,713","238,487","109,756","128,731","805,492","396,020","409,472","98,171","49,305","48,866","285,018","135,071","149,947"
    Associate's degree,"278,878","111,785","167,093","42,724","20,307","22,417","408,070","185,702","222,368","143,522","54,286","89,236","2,070,661","929,539","1,141,122","313,309","140,223","173,086","201,193","82,023","119,170","51,777","18,515","33,262","15,722","6,772","8,950","1,507,434","640,108","867,326","540,564","219,179","321,385","106,987","51,643","55,344","107,505","48,436","59,069","692,672","305,166","387,506","394,092","166,188","227,904","242,738","107,609","135,129","167,548","72,097","95,451","241,585","94,440","147,145","185,409","75,731","109,678","100,214","43,543","56,671","285,379","115,182","170,197","360,700","144,696","216,004","649,916","268,868","381,048","426,760","195,318","231,442","198,080","73,542","124,538","326,430","138,593","187,837","65,772","29,236","36,536","128,547","65,322","63,225","165,508","78,058","87,450","97,978","40,664","57,314","418,148","173,839","244,309","117,531","51,753","65,778","1,218,132","526,111","692,021","658,224","263,668","394,556","66,236","33,438","32,798","698,820","280,577","418,243","208,717","90,701","118,016","255,783","118,563","137,220","747,997","327,177","420,820","58,876","26,029","32,847","330,153","137,196","192,957","62,204","27,138","35,066","332,593","136,629","195,964","1,323,957","601,565","722,392","172,999","74,215","98,784","37,360","15,082","22,278","456,210","191,791","264,419","514,987","233,499","281,488","90,494","31,815","58,679","433,324","197,922","235,402","40,340","17,450","22,890","242,776","99,773","143,003"
    Bachelor's degree,"528,019","242,582","285,437","86,444","39,090","47,354","863,062","421,514","441,548","301,294","141,893","159,401","5,616,449","2,693,031","2,923,418","994,894","484,314","510,580","533,791","253,151","280,640","121,442","58,029","63,413","118,172","55,931","62,241","2,839,500","1,335,158","1,504,342","1,311,611","614,256","697,355","216,993","100,525","116,468","202,800","97,903","104,897","1,829,903","876,478","953,425","753,268","352,009","401,259","406,630","189,790","216,840","403,542","193,207","210,335","423,916","203,082","220,834","482,439","211,189","271,250","193,860","85,562","108,298","889,090","410,803","478,287","1,146,586","541,895","604,691","1,201,375","569,277","632,098","888,880","427,993","460,887","265,220","118,283","146,937","743,797","347,259","396,538","157,326","73,383","83,943","263,330","122,835","140,495","340,110","167,190","172,920","216,750","101,959","114,791","1,506,899","707,327","799,572","211,995","99,627","112,368","2,794,920","1,327,412","1,467,508","1,406,739","641,514","765,225","108,045","51,215","56,830","1,381,934","658,148","723,786","437,243","199,322","237,921","609,160","291,360","317,800","1,697,397","817,555","879,842","149,699","71,311","78,388","607,024","286,633","320,391","109,803","51,419","58,384","790,840","373,333","417,507","3,510,311","1,645,023","1,865,288","416,804","206,048","210,756","98,774","43,520","55,254","1,270,190","595,764","674,426","1,130,392","554,337","576,055","156,378","74,482","81,896","782,676","361,715","420,961","67,312","31,850","35,462","428,558","155,376","273,182"
    Graduate or professional degree,"316,685","146,280","170,405","52,240","24,294","27,946","520,030","259,528","260,502","168,820","75,207","93,613","3,359,798","1,669,460","1,690,338","579,803","286,555","293,248","430,816","198,150","232,666","90,641","40,635","50,006","165,347","78,827","86,520","1,614,992","800,875","814,117","819,867","363,487","456,380","111,687","54,458","57,229","94,858","50,747","44,111","1,167,902","541,746","626,156","436,190","204,842","231,348","199,190","92,892","106,298","239,200","114,676","124,524","299,636","128,391","171,245","260,086","113,092","146,994","117,747","50,729","67,018","763,490","347,629","415,861","932,085","433,640","498,445","784,189","375,645","408,544","473,246","225,548","247,698","163,277","66,737","96,540","462,042","212,317","249,725","76,491","37,219","39,272","135,450","65,136","70,314","173,170","85,827","87,343","137,142","63,366","73,776","969,808","475,244","494,564","164,505","76,190","88,315","2,185,242","962,067","1,223,175","783,940","356,213","427,727","44,394","19,465","24,929","849,416","397,694","451,722","223,293","107,248","116,045","369,257","175,370","193,887","1,119,839","516,636","603,203","96,825","43,803","53,022","357,316","156,111","201,205","51,935","26,727","25,208","463,322","212,034","251,288","1,861,178","922,147","939,031","215,638","128,829","86,809","69,392","29,876","39,516","967,026","476,685","490,341","680,727","337,536","343,191","102,078","44,388","57,690","419,854","199,061","220,793","39,785","19,518","20,267","173,961","64,457","109,504"
Percent high school graduate or higher,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
Percent bachelor's degree or higher,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
Population 25 to 34 years,"628,878","309,577","319,301","118,149","63,520","54,629","953,327","494,139","459,188","382,786","195,077","187,709","6,018,225","3,100,572","2,917,653","867,170","449,737","417,433","444,141","225,689","218,452","130,949","65,362","65,587","162,354","76,152","86,202","2,707,837","1,364,909","1,342,928","1,421,366","701,297","720,069","206,064","106,764","99,300","221,528","112,096","109,432","1,765,429","893,575","871,854","868,016","434,938","433,078","392,787","199,914","192,873","384,111","199,505","184,606","573,771","288,764","285,007","654,476","321,361","333,115","158,713","80,308","78,405","837,271","416,012","421,259","972,147","486,477","485,670","1,266,361","642,455","623,906","758,807","386,503","372,304","362,723","177,693","185,030","814,462","408,148","406,314","132,667","67,853","64,814","259,071","131,083","127,988","436,060","222,891","213,169","163,877","83,838","80,039","1,162,394","590,370","572,024","274,063","139,387","134,676","2,923,367","1,459,057","1,464,310","1,352,154","665,980","686,174","114,379","62,396","51,983","1,525,401","766,767","758,634","538,461","270,706","267,755","578,534","292,923","285,611","1,681,722","850,569","831,153","145,756","73,389","72,367","648,479","316,683","331,796","116,061","60,429","55,632","905,358","449,893","455,465","4,122,739","2,093,214","2,029,525","453,438","229,392","224,046","73,864","37,032","36,832","1,165,166","587,604","577,562","1,105,343","573,033","532,310","208,597","105,257","103,340","727,114","371,774","355,340","79,822","42,261","37,561","396,657","192,028","204,629"
    High school graduate or higher,"555,404","268,368","287,036","106,986","56,288","50,698","845,756","431,833","413,923","346,590","174,312","172,278","5,390,200","2,734,197","2,656,003","804,127","414,279","389,848","408,392","204,036","204,356","120,208","58,390","61,818","155,410","72,313","83,097","2,446,928","1,211,425","1,235,503","1,259,940","606,651","653,289","197,164","102,617","94,547","204,294","101,310","102,984","1,630,904","811,544","819,360","781,009","385,185","395,824","365,871","184,793","181,078","351,293","180,935","170,358","527,981","262,115","265,866","574,164","275,909","298,255","150,514","74,932","75,582","763,965","374,173","389,792","910,639","451,409","459,230","1,167,148","583,280","583,868","711,944","360,377","351,567","312,377","147,503","164,874","747,120","368,108","379,012","122,676","61,990","60,686","237,514","119,110","118,404","385,594","195,211","190,383","153,638","78,404","75,234","1,089,374","549,016","540,358","247,363","123,651","123,712","2,651,959","1,305,826","1,346,133","1,219,077","591,127","627,950","109,563","59,499","50,064","1,406,599","702,309","704,290","483,919","238,756","245,163","530,833","265,853","264,980","1,565,491","781,043","784,448","135,171","67,629","67,542","578,485","273,333","305,152","106,756","54,638","52,118","834,732","409,136","425,596","3,640,816","1,811,888","1,828,928","422,012","211,405","210,607","68,936","33,947","34,989","1,084,730","541,372","543,358","1,022,222","526,340","495,882","190,618","95,225","95,393","684,857","345,573","339,284","74,748","39,204","35,544","357,185","165,970","191,215"
    Bachelor's degree or higher,"167,848","74,578","93,270","28,098","11,727","16,371","275,199","127,353","147,846","102,015","44,294","57,721","2,181,935","1,014,214","1,167,721","366,950","169,888","197,062","188,577","86,526","102,051","40,404","17,317","23,087","117,334","53,360","63,974","811,471","343,458","468,013","453,269","197,073","256,196","63,331","27,687","35,644","56,845","23,481","33,364","727,260","333,440","393,820","278,844","125,585","153,259","137,608","61,292","76,316","137,173","63,796","73,377","160,364","68,935","91,429","171,313","69,054","102,259","55,355","22,943","32,412","348,426","154,987","193,439","505,522","230,295","275,227","424,146","195,031","229,115","319,899","146,295","173,604","79,407","32,203","47,204","273,994","120,194","153,800","42,434","19,747","22,687","96,669","43,023","53,646","104,534","47,549","56,985","68,344","31,241","37,103","539,527","243,906","295,621","67,744","30,064","37,680","1,311,673","581,597","730,076","468,044","203,523","264,521","44,475","18,921","25,554","501,392","228,946","272,446","143,712","62,234","81,478","212,508","96,308","116,200","661,456","300,475","360,981","52,982","23,721","29,261","187,421","80,992","106,429","35,440","16,040","19,400","292,448","126,344","166,104","1,276,751","568,439","708,312","155,537","74,432","81,105","29,451","12,958","16,493","487,047","219,360","267,687","419,137","197,462","221,675","51,804","24,122","27,682","264,889","118,494","146,395","21,642","8,992","12,650","126,032","45,124","80,908"
Population 35 to 44 years,"596,006","291,614","304,392","97,124","50,217","46,907","859,457","433,985","425,472","370,996","183,196","187,800","5,232,877","2,632,867","2,600,010","762,156","392,771","369,385","421,380","207,086","214,294","111,068","54,174","56,894","102,128","50,457","51,671","2,535,767","1,259,894","1,275,873","1,384,136","670,362","713,774","181,837","92,993","88,844","215,657","109,172","106,485","1,647,140","821,301","825,839","818,483","405,597","412,886","374,473","190,331","184,142","354,624","178,240","176,384","555,670","275,716","279,954","588,273","291,627","296,646","151,118","73,873","77,245","772,536","376,362","396,174","835,762","410,109","425,653","1,157,393","574,182","583,211","701,136","356,243","344,893","377,902","178,152","199,750","729,164","362,731","366,433","125,034","62,960","62,074","235,957","121,916","114,041","400,006","200,868","199,138","151,687","75,329","76,358","1,159,791","574,345","585,446","250,144","125,456","124,688","2,471,713","1,215,912","1,255,801","1,305,272","633,841","671,431","89,406","46,798","42,608","1,383,026","687,240","695,786","486,405","244,920","241,485","549,489","276,169","273,320","1,489,221","744,858","744,363","123,187","60,722","62,465","619,763","303,170","316,593","99,981","51,379","48,602","841,848","413,979","427,869","3,833,039","1,914,649","1,918,390","424,179","214,497","209,682","69,237","34,163","35,074","1,107,730","548,713","559,017","977,367","495,335","482,032","220,633","110,898","109,735","698,926","353,569","345,357","70,601","36,797","33,804","427,844","199,531","228,313"
    High school graduate or higher,"525,791","250,334","275,457","91,616","47,094","44,522","738,967","365,777","373,190","326,666","157,503","169,163","4,357,054","2,166,321","2,190,733","686,586","350,088","336,498","387,994","187,032","200,962","98,090","46,676","51,414","91,973","45,097","46,876","2,260,098","1,099,437","1,160,661","1,215,438","572,711","642,727","173,488","88,417","85,071","196,939","97,356","99,583","1,477,989","727,643","750,346","724,788","352,547","372,241","344,875","172,711","172,164","320,622","158,827","161,795","494,974","242,391","252,583","509,383","243,539","265,844","143,039","68,993","74,046","696,115","332,753","363,362","768,056","371,584","396,472","1,060,335","521,606","538,729","652,723","329,781","322,942","330,665","150,702","179,963","663,585","325,807","337,778","116,670","57,860","58,810","213,708","109,950","103,758","344,040","171,644","172,396","143,882","70,646","73,236","1,054,265","517,967","536,298","211,743","104,080","107,663","2,174,063","1,061,482","1,112,581","1,148,751","547,478","601,273","85,750","45,114","40,636","1,269,523","624,207","645,316","428,305","210,590","217,715","491,034","244,591","246,443","1,370,596","677,148","693,448","113,723","54,875","58,848","547,441","260,661","286,780","92,233","47,450","44,783","755,269","364,138","391,131","3,193,168","1,565,020","1,628,148","391,323","197,034","194,289","64,487","30,679","33,808","1,008,786","494,522","514,264","883,029","441,640","441,389","201,542","100,488","101,054","649,337","325,439","323,898","64,822","32,977","31,845","374,705","166,335","208,370"
    Bachelor's degree or higher,"166,364","68,726","97,638","31,021","13,051","17,970","269,517","123,367","146,150","100,639","44,380","56,259","1,909,936","895,892","1,014,044","337,370","157,759","179,611","185,306","80,259","105,047","36,554","16,136","20,418","63,686","31,863","31,823","824,956","370,337","454,619","483,148","204,331","278,817","67,513","31,293","36,220","66,348","32,713","33,635","636,886","287,824","349,062","247,547","106,948","140,599","132,759","57,647","75,112","135,650","61,206","74,444","157,542","67,857","89,685","163,449","68,728","94,721","53,269","21,153","32,116","348,535","153,307","195,228","404,235","183,368","220,867","387,852","169,511","218,341","288,868","132,293","156,575","93,271","35,030","58,241","248,992","108,532","140,460","44,943","19,613","25,330","87,978","39,072","48,906","101,642","45,185","56,457","60,836","26,440","34,396","535,315","243,312","292,003","61,088","26,530","34,558","1,018,700","458,555","560,145","467,683","198,650","269,033","34,649","16,041","18,608","465,192","207,081","258,111","131,470","57,652","73,818","210,793","95,337","115,456","565,884","252,953","312,931","49,359","22,514","26,845","191,068","80,821","110,247","31,046","12,905","18,141","264,394","116,813","147,581","1,209,407","548,348","661,059","163,284","85,854","77,430","29,420","11,876","17,544","482,964","218,324","264,640","380,595","180,067","200,528","50,638","19,641","30,997","247,683","106,781","140,902","21,466","9,095","12,371","132,200","42,552","89,648"
Population 45 to 64 years,"1,281,507","615,206","666,301","183,247","95,329","87,918","1,697,728","824,671","873,057","757,592","368,816","388,776","9,923,354","4,881,243","5,042,111","1,419,043","703,081","715,962","1,027,239","496,715","530,524","258,452","122,835","135,617","146,140","71,353","74,787","5,561,341","2,681,058","2,880,283","2,688,674","1,293,706","1,394,968","356,093","176,167","179,926","412,009","203,641","208,368","3,346,893","1,640,841","1,706,052","1,724,932","847,987","876,945","802,025","397,812","404,213","718,342","355,096","363,246","1,180,464","575,547","604,917","1,181,417","569,812","611,605","395,168","191,641","203,527","1,655,211","790,314","864,897","1,872,840","905,180","967,660","2,730,443","1,337,293","1,393,150","1,459,569","728,608","730,961","752,997","363,503","389,494","1,596,380","777,260","819,120","275,749","136,716","139,033","469,321","233,749","235,572","768,435","384,239","384,196","406,120","200,233","205,887","2,495,881","1,208,129","1,287,752","517,339","253,820","263,519","5,265,003","2,538,288","2,726,715","2,703,761","1,297,231","1,406,530","179,450","92,058","87,392","3,133,842","1,529,560","1,604,282","960,416","472,117","488,299","1,064,304","522,638","541,666","3,513,356","1,720,928","1,792,428","291,454","140,100","151,354","1,309,792","621,530","688,262","216,631","109,290","107,341","1,770,847","856,125","914,722","6,728,076","3,304,107","3,423,969","614,223","307,505","306,718","179,016","87,234","91,782","2,234,721","1,084,052","1,150,669","1,901,499","942,934","958,565","499,548","246,652","252,896","1,576,007","787,015","788,992","146,840","74,329","72,511","860,419","397,277","463,142"
    High school graduate or higher,"1,130,179","535,384","594,795","170,158","88,868","81,290","1,467,151","703,682","763,469","658,804","313,909","344,895","8,078,704","3,955,251","4,123,453","1,307,782","644,242","663,540","940,251","449,579","490,672","238,296","110,841","127,455","129,745","62,959","66,786","4,954,200","2,360,769","2,593,431","2,374,961","1,119,270","1,255,691","328,389","161,736","166,653","373,580","183,356","190,224","2,986,688","1,447,150","1,539,538","1,549,662","753,664","795,998","746,822","368,215","378,607","659,012","321,959","337,053","1,023,952","486,849","537,103","1,008,377","473,469","534,908","368,648","173,985","194,663","1,506,797","708,863","797,934","1,718,949","824,943","894,006","2,515,002","1,218,151","1,296,851","1,373,677","680,074","693,603","647,515","303,629","343,886","1,442,796","694,218","748,578","259,247","127,987","131,260","432,345","213,724","218,621","661,262","327,365","333,897","381,602","185,461","196,141","2,271,275","1,088,988","1,182,287","445,804","215,728","230,076","4,587,028","2,187,545","2,399,483","2,409,213","1,123,161","1,286,052","168,981","85,795","83,186","2,853,686","1,377,956","1,475,730","849,325","410,504","438,821","968,862","468,913","499,949","3,225,676","1,564,470","1,661,206","256,988","122,812","134,176","1,158,571","537,161","621,410","202,394","101,507","100,887","1,558,566","737,655","820,911","5,592,587","2,714,111","2,878,476","561,893","278,155","283,738","167,919","79,599","88,320","2,020,869","966,859","1,054,010","1,743,355","857,035","886,320","439,399","210,317","229,082","1,468,663","724,894","743,769","137,228","69,278","67,950","694,244","305,242","389,002"
    Bachelor's degree or higher,"333,016","148,722","184,294","54,192","25,376","28,816","485,351","234,923","250,428","166,309","74,276","92,033","3,159,887","1,543,078","1,616,809","572,582","279,706","292,876","394,648","182,621","212,027","85,014","38,607","46,407","65,838","31,435","34,403","1,615,423","769,081","846,342","834,082","384,342","449,740","117,151","55,265","61,886","106,892","52,611","54,281","1,105,393","526,518","578,875","441,949","207,284","234,665","216,996","102,006","114,990","238,083","114,053","124,030","268,781","122,939","145,842","261,416","111,954","149,462","120,252","50,077","70,175","644,378","291,363","353,015","782,181","367,558","414,623","766,868","365,472","401,396","505,099","244,181","260,918","163,280","71,871","91,409","451,605","209,406","242,199","86,690","39,382","47,308","139,533","66,206","73,327","188,153","92,270","95,883","148,411","67,413","80,998","969,198","468,548","500,650","141,208","64,228","76,980","1,748,865","806,921","941,944","830,865","375,790","455,075","49,137","23,202","25,935","827,724","391,795","435,929","242,116","111,352","130,764","333,534","155,958","177,576","1,042,067","489,186","552,881","94,056","42,976","51,080","349,711","158,229","191,482","59,203","28,973","30,230","452,090","207,545","244,545","1,949,572","940,785","1,008,787","206,258","112,084","94,174","65,714","27,301","38,413","855,674","417,697","437,977","647,388","318,269","329,119","96,239","44,989","51,250","452,369","212,927","239,442","39,259","19,258","20,001","239,815","87,812","152,003"
Population 65 years and over,"803,216","348,847","454,369","83,041","41,539","41,502","1,200,850","553,556","647,294","497,024","221,324","275,700","5,504,817","2,443,427","3,061,390","773,699","353,208","420,491","601,094","261,185","339,909","173,217","77,014","96,203","83,992","34,201","49,791","4,215,232","1,898,142","2,317,090","1,401,850","606,699","795,151","253,750","114,132","139,618","262,594","123,970","138,624","1,947,595","848,158","1,099,437","1,023,886","449,807","574,079","524,624","233,636","290,988","447,451","199,849","247,602","709,048","312,920","396,128","696,111","303,744","392,367","266,741","121,945","144,796","902,586","389,803","512,783","1,107,824","479,522","628,302","1,665,113","742,956","922,157","858,904","388,576","470,328","465,719","201,149","264,570","1,010,269","445,846","564,423","190,216","91,640","98,576","294,905","132,471","162,434","458,679","217,276","241,403","236,321","108,049","128,272","1,416,472","607,864","808,608","349,929","158,842","191,087","3,161,049","1,353,360","1,807,689","1,629,998","711,245","918,753","112,669","51,182","61,487","1,939,616","847,873","1,091,743","601,132","267,149","333,983","708,868","325,729","383,139","2,276,543","991,667","1,284,876","176,572","76,056","100,516","865,817","385,573","480,244","141,886","65,349","76,537","1,070,400","471,577","598,823","3,465,492","1,545,061","1,920,431","335,195","155,251","179,944","117,150","53,742","63,408","1,271,604","565,285","706,319","1,117,759","508,652","609,107","350,572","158,270","192,302","956,184","432,708","523,476","90,437","43,423","47,014","658,755","284,891","373,864"
    High school graduate or higher,"651,290","284,173","367,117","72,765","37,677","35,088","1,054,590","490,369","564,221","408,796","182,671","226,125","4,404,013","2,007,327","2,396,686","703,937","323,933","380,004","517,928","225,457","292,471","153,541","68,136","85,405","69,155","27,957","41,198","3,613,018","1,646,699","1,966,319","1,152,251","507,210","645,041","221,572","102,901","118,671","235,236","111,602","123,634","1,661,596","728,414","933,182","874,996","386,212","488,784","470,736","208,649","262,087","402,338","179,904","222,434","559,560","243,496","316,064","564,534","246,259","318,275","234,752","105,611","129,141","780,718","340,831","439,887","948,471","417,656","530,815","1,456,859","651,057","805,802","778,438","352,419","426,019","362,816","157,796","205,020","869,235","386,588","482,647","174,344","83,503","90,841","266,264","119,841","146,423","399,267","193,779","205,488","212,323","97,409","114,914","1,191,439","518,295","673,144","293,000","134,818","158,182","2,553,137","1,103,659","1,449,478","1,360,355","589,193","771,162","96,587","43,775","52,812","1,674,389","734,840","939,549","515,851","231,343","284,508","648,085","298,345","349,740","1,954,783","854,939","1,099,844","144,795","63,605","81,190","724,506","325,572","398,934","125,550","57,542","68,008","880,002","389,630","490,372","2,753,752","1,251,883","1,501,869","308,272","144,319","163,953","105,505","47,629","57,876","1,071,459","478,245","593,214","1,009,399","465,935","543,464","282,530","127,358","155,172","853,403","384,070","469,333","83,549","40,306","43,243","357,968","152,141","205,827"
    Bachelor's degree or higher,"177,476","96,836","80,640","25,373","13,230","12,143","353,025","195,399","157,626","101,151","54,150","47,001","1,724,489","909,307","815,182","297,795","163,516","134,279","196,076","101,895","94,181","50,111","26,604","23,507","36,661","18,100","18,561","1,202,642","653,157","549,485","360,979","191,997","168,982","80,685","40,738","39,947","67,573","39,845","27,728","528,266","270,442","257,824","221,118","117,034","104,084","118,457","61,737","56,720","131,836","68,828","63,008","136,865","71,742","65,123","146,347","74,545","71,802","82,731","42,118","40,613","311,241","158,775","152,466","386,733","194,314","192,419","406,698","214,908","191,790","248,260","130,772","117,488","92,539","45,916","46,623","231,248","121,444","109,804","59,750","31,860","27,890","74,600","39,670","34,930","118,951","68,013","50,938","76,301","40,231","36,070","432,667","226,805","205,862","106,460","54,995","51,465","900,924","442,406","458,518","424,087","219,764","204,323","24,178","12,516","11,662","437,042","228,020","209,022","143,238","75,332","67,906","221,582","119,127","102,455","547,829","291,577","256,252","50,127","25,903","24,224","236,140","122,702","113,438","36,049","20,228","15,821","245,230","134,665","110,565","935,759","509,598","426,161","107,363","62,507","44,856","43,581","21,261","22,320","411,531","217,068","194,463","363,999","196,075","167,924","59,775","30,118","29,657","237,589","122,574","115,015","24,730","14,023","10,707","104,472","44,345","60,127"
RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
