Label,Alabama_Count,Alaska_Count,Arizona_Count,Arkansas_Count,California_Count,Colorado_Count,Connecticut_Count,Delaware_Count,District of Columbia_Count,Florida_Count,Georgia_Count,Hawaii_Count,Idaho_Count,Illinois_Count,Indiana_Count,Iowa_Count,Kansas_Count,Kentucky_Count,Louisiana_Count,Maine_Count,Maryland_Count,Massachusetts_Count,Michigan_Count,Minnesota_Count,Mississippi_Count,Missouri_Count,Montana_Count,Nebraska_Count,Nevada_Count,New Hampshire_Count,New Jersey_Count,New Mexico_Count,New York_Count,North Carolina_Count,North Dakota_Count,Ohio_Count,Oklahoma_Count,Oregon_Count,Pennsylvania_Count,Rhode Island_Count,South Carolina_Count,South Dakota_Count,Tennessee_Count,Texas_Count,Utah_Count,Vermont_Count,Virginia_Count,Washington_Count,West Virginia_Count,Wisconsin_Count,Wyoming_Count,Puerto Rico_Count
            Bachelor's degree,"1,945",266,"2,141",428,"13,484","1,426","1,070",281,775,"7,960","3,586",446,390,"3,834","2,295","1,724",472,"1,250","2,450",178,"2,418","2,234","2,667","1,873",727,"2,273",249,613,341,577,"2,727","1,081","7,569","2,759",58,"3,832","1,248",425,"2,454",742,"1,787",365,"1,726","9,224",467,331,"1,807","2,115","1,035","1,223",97,"2,032"
            Graduate or professional degree,574,343,607,62,"4,664",700,"1,073",0,89,"2,259","1,499",172,88,"1,999",356,386,112,488,302,141,758,962,710,614,164,362,116,203,101,225,978,182,"3,901","1,161",66,884,174,312,"2,048",221,511,5,808,"1,958",60,57,773,724,0,641,441,831
Women who did not have a birth in the past 12 months:,"1,083,978","156,810","1,573,164","659,233","9,163,187","1,331,889","779,949","207,620","204,534","4,511,342","2,477,970","295,162","379,486","2,849,084","1,475,734","662,671","618,249","975,465","1,036,638","272,141","1,356,543","1,596,310","2,136,902","1,213,104","664,757","1,324,094","217,647","411,078","685,243","287,477","1,942,370","440,969","4,413,157","2,367,837","161,249","2,497,757","862,934","946,038","2,705,893","237,917","1,124,841","178,160","1,523,983","6,759,335","765,416","130,873","1,917,531","1,705,212","363,357","1,230,176","119,223","722,728"
        Now married (including separated and spouse absent):,"458,614","73,848","638,511","296,654","3,775,828","616,168","300,462","79,420","49,910","1,781,221","1,022,076","129,488","187,471","1,155,719","621,164","300,179","286,425","439,556","392,913","112,549","539,617","609,739","858,460","532,276","262,572","585,487","93,107","194,750","294,262","119,231","818,595","162,277","1,696,297","1,007,869","74,281","1,029,940","387,790","401,233","1,101,022","82,771","457,951","83,713","667,324","3,011,697","386,719","52,582","845,631","779,870","165,799","516,379","61,300","193,412"
            Less than high school graduate,"38,568","3,009","68,285","25,436","534,267","48,587","16,496","6,745","1,067","146,514","98,883","6,919","11,989","93,276","48,847","17,500","19,793","34,171","31,431","3,243","37,514","33,890","53,177","26,752","22,274","33,369","3,748","13,412","40,933","3,442","53,330","20,335","153,973","79,344","1,760","62,839","34,890","34,705","66,643","4,469","30,239","3,196","50,792","394,291","20,453","2,846","54,075","55,304","12,373","25,306","2,248","11,182"
            High school graduate (includes equivalency),"101,778","15,888","127,256","82,674","685,309","98,181","50,403","14,718","2,594","383,374","198,837","27,901","36,057","193,586","136,033","48,777","47,880","101,351","97,885","22,965","84,963","91,757","158,871","64,626","50,283","118,231","19,041","30,698","69,466","19,308","145,369","35,597","328,625","168,605","11,252","219,498","95,125","74,212","225,649","18,176","94,367","15,637","156,599","643,195","75,570","8,592","130,404","135,428","44,226","86,594","13,446","40,629"
            Some college or associate's degree,"150,247","26,925","211,163","95,708","1,002,739","164,905","67,446","21,116","6,961","538,100","287,261","42,874","72,985","313,224","199,161","101,766","91,025","147,365","121,182","34,515","127,853","123,748","278,769","160,820","102,764","183,067","30,567","61,858","94,697","33,155","166,066","56,332","385,081","318,602","27,423","309,650","124,155","119,705","284,736","20,792","148,299","28,690","187,675","851,103","148,463","13,610","232,803","239,556","57,058","163,576","24,718","55,607"
            Bachelor's degree,"102,621","17,875","151,356","59,972","942,504","189,337","86,809","20,577","12,416","451,587","255,767","35,946","48,389","319,273","158,192","88,482","80,491","87,420","92,833","30,874","142,523","179,352","221,016","177,064","54,362","147,741","28,191","57,495","58,393","35,634","269,351","29,324","432,990","276,671","23,917","263,699","90,665","100,933","302,420","23,319","111,098","25,041","169,619","738,037","107,449","14,672","237,067","206,815","32,279","158,165","13,487","59,343"
            Graduate or professional degree,"65,400","10,151","80,451","32,864","611,009","115,158","79,308","16,264","26,872","261,646","181,328","15,848","18,051","236,360","78,931","43,654","47,236","69,249","49,582","20,952","146,764","180,992","146,627","103,014","32,889","103,079","11,560","31,287","30,773","27,692","184,479","20,689","395,628","164,647","9,929","174,254","42,955","71,678","221,574","16,015","73,948","11,149","102,639","385,071","34,784","12,862","191,282","142,767","19,863","82,738","7,401","26,651"
"        Unmarried (never married, widowed and divorced):","625,364","82,962","934,653","362,579","5,387,359","715,721","479,487","128,200","154,624","2,730,121","1,455,894","165,674","192,015","1,693,365","854,570","362,492","331,824","535,909","643,725","159,592","816,926","986,571","1,278,442","680,828","402,185","738,607","124,540","216,328","390,981","168,246","1,123,775","278,692","2,716,860","1,359,968","86,968","1,467,817","475,144","544,805","1,604,871","155,146","666,890","94,447","856,659","3,747,638","378,697","78,291","1,071,900","925,342","197,558","713,797","57,923","529,316"
            Less than high school graduate,"142,777","16,699","226,787","86,592","1,172,891","147,368","95,447","25,701","13,262","572,608","321,118","29,856","51,515","357,942","205,559","78,607","78,557","125,581","150,349","30,204","164,488","175,607","277,783","147,018","96,463","163,392","26,048","48,889","96,002","33,270","234,438","64,067","515,280","295,430","17,912","321,160","124,141","107,566","331,960","27,257","146,086","25,896","184,410","935,642","101,892","12,425","223,927","204,556","49,599","148,949","13,297","87,125"
            High school graduate (includes equivalency),"161,467","24,047","210,256","95,245","1,048,655","135,326","108,981","29,481","24,363","642,200","325,538","42,097","46,703","337,685","211,742","73,399","66,965","130,887","167,104","38,174","170,975","180,155","289,193","117,384","93,178","172,861","27,985","39,218","100,303","38,861","232,550","61,130","506,222","284,272","17,443","352,924","116,401","105,423","403,882","38,484","161,212","22,848","212,676","840,775","84,433","18,094","222,184","190,677","55,447","161,265","13,535","119,107"
            Some college or associate's degree,"216,714","25,532","310,883","123,932","1,765,340","207,076","142,724","43,014","38,440","918,583","471,158","48,315","65,894","535,785","281,425","141,252","118,544","181,779","207,886","49,323","236,789","286,086","450,061","239,290","156,322","246,737","41,557","75,905","126,675","57,140","313,067","100,149","788,832","471,283","31,304","500,845","158,505","196,829","477,959","52,178","228,618","30,863","281,699","1,203,123","127,037","27,801","327,943","294,539","60,789","244,633","20,531","183,291"
            Bachelor's degree,"72,714","11,794","134,747","42,895","1,025,546","164,374","92,054","20,947","42,561","428,743","236,392","32,102","19,882","324,037","118,285","54,597","48,069","68,567","84,280","32,336","159,800","234,461","189,485","133,626","34,938","110,965","21,961","38,553","50,124","27,902","251,579","35,151","605,958","220,001","16,246","212,140","56,730","93,634","270,932","26,257","91,914","10,391","127,222","561,186","49,460","13,859","198,476","165,260","22,719","120,187","7,770","104,213"
            Graduate or professional degree,"31,692","4,890","51,980","13,915","374,927","61,577","40,281","9,057","35,998","167,987","101,688","13,304","8,021","137,916","37,559","14,637","19,689","29,095","34,106","9,555","84,874","110,262","71,920","43,510","21,284","44,652","6,989","13,763","17,877","11,073","92,141","18,195","300,568","88,982","4,063","80,748","19,367","41,353","120,138","10,970","39,060","4,449","50,652","206,912","15,875","6,112","99,370","70,310","9,004","38,763","2,790","35,580"
