Label,Alabama_Count,Alaska_Count,Arizona_Count,Arkansas_Count,California_Count,Colorado_Count,Connecticut_Count,Delaware_Count,District of Columbia_Count,Florida_Count,Georgia_Count,Hawaii_Count,Idaho_Count,Illinois_Count,Indiana_Count,Iowa_Count,Kansas_Count,Kentucky_Count,Louisiana_Count,Maine_Count,Maryland_Count,Massachusetts_Count,Michigan_Count,Minnesota_Count,Mississippi_Count,Missouri_Count,Montana_Count,Nebraska_Count,Nevada_Count,New Hampshire_Count,New Jersey_Count,New Mexico_Count,New York_Count,North Carolina_Count,North Dakota_Count,Ohio_Count,Oklahoma_Count,Oregon_Count,Pennsylvania_Count,Rhode Island_Count,South Carolina_Count,South Dakota_Count,Tennessee_Count,Texas_Count,Utah_Count,Vermont_Count,Virginia_Count,Washington_Count,West Virginia_Count,Wisconsin_Count,Wyoming_Count,Puerto Rico_Count
Total:,"1,142,520","167,312","1,662,183","694,603","9,614,158","1,396,141","810,730","216,200","212,909","4,717,198","2,612,779","313,593","406,657","2,996,121","1,557,392","700,486","659,307","1,022,872","1,094,630","286,271","1,430,367","1,665,449","2,252,361","1,284,263","700,722","1,400,522","229,914","437,975","722,686","299,443","2,038,048","467,914","4,630,870","2,497,195","174,347","2,648,656","917,983","988,292","2,854,849","245,885","1,188,417","190,728","1,602,025","7,150,260","810,449","137,426","2,015,535","1,803,317","384,632","1,298,851","126,128","743,714"
Women who had a birth in the past 12 months:,"58,542","10,502","89,019","35,370","450,971","64,252","30,781","8,580","8,375","205,856","134,809","18,431","27,171","147,037","81,658","37,815","41,058","47,407","57,992","14,130","73,824","69,139","115,459","71,159","35,965","76,428","12,267","26,897","37,443","11,966","95,678","26,945","217,713","129,358","13,098","150,899","55,049","42,254","148,956","7,968","63,576","12,568","78,042","390,925","45,033","6,553","98,004","98,105","21,275","68,675","6,905","20,986"
        Now married (including separated and spouse absent):,"32,415","7,474","55,154","21,732","317,408","50,545","22,873","5,123","4,616","131,052","85,397","13,287","22,315","97,411","50,130","27,330","30,006","31,804","29,628","10,448","50,027","51,015","71,238","53,063","19,153","52,540","8,877","19,124","22,882","9,505","69,264","14,057","154,238","81,781","10,428","92,040","35,950","31,798","96,667","5,334","38,615","9,687","50,112","257,543","38,459","4,523","71,853","74,115","12,434","49,003","5,368","9,697"
            Less than high school graduate,"2,235",419,"7,037","2,095","31,303","4,252",577,645,197,"10,770","6,470",233,"1,352","7,081","3,347","2,082","2,608","3,018","2,093",501,"2,012","3,634","3,735","3,492","1,639","3,010",439,"1,292","2,703",321,"3,883","1,701","14,149","5,088","1,112","7,508","3,259","2,080","8,559",92,"1,930",312,"3,728","24,453","2,174",169,"3,274","4,793",599,"2,766",351,170
            High school graduate (includes equivalency),"6,620","1,263","10,939","4,479","52,254","8,656","3,520","1,343",192,"29,249","15,571","2,189","4,159","12,997","10,128","2,947","4,442","5,136","6,792","1,929","6,202","4,451","11,870","5,385","3,413","9,944","1,593","1,952","5,170","1,590","9,236","2,506","24,120","13,614","2,145","15,302","9,892","5,981","16,337",924,"7,934","1,942","8,868","52,031","5,777",738,"10,438","13,605","3,068","6,596","1,321",950
            Some college or associate's degree,"10,395","2,600","18,205","6,909","87,069","13,488","4,799",984,307,"35,224","23,852","4,221","8,450","22,680","14,533","9,807","8,779","11,032","8,321","3,517","10,680","9,773","21,652","15,343","7,209","14,737","2,968","5,291","6,183","1,881","12,727","4,845","30,562","25,871","2,632","24,640","10,851","9,160","20,792","1,097","13,277","3,106","14,263","73,884","14,945","1,255","17,974","22,677","3,930","14,082","2,095","2,523"
            Bachelor's degree,"8,802","1,988","12,811","5,457","89,680","15,126","6,837","1,267","1,459","34,838","23,807","4,227","6,469","31,610","15,004","8,195","9,177","6,913","8,582","2,857","14,029","15,809","20,127","17,242","4,390","15,884","3,145","6,649","5,839","3,051","22,801","3,320","41,509","22,066","3,458","27,938","7,832","8,928","27,891","1,775","8,645","2,573","16,087","68,253","12,890","1,274","23,402","21,857","2,605","17,514","1,259","4,415"
            Graduate or professional degree,"4,363","1,204","6,162","2,792","57,102","9,023","7,140",884,"2,461","20,971","15,697","2,417","1,885","23,043","7,118","4,299","5,000","5,705","3,840","1,644","17,104","17,348","13,854","11,601","2,502","8,965",732,"3,940","2,987","2,662","20,617","1,685","43,898","15,142","1,081","16,652","4,116","5,649","23,088","1,446","6,829","1,754","7,166","38,922","2,673","1,087","16,765","11,183","2,232","8,045",342,"1,639"
"        Unmarried (never married, widowed and divorced):","26,127","3,028","33,865","13,638","133,563","13,707","7,908","3,457","3,759","74,804","49,412","5,144","4,856","49,626","31,528","10,485","11,052","15,603","28,364","3,682","23,797","18,124","44,221","18,096","16,812","23,888","3,390","7,773","14,561","2,461","26,414","12,888","63,475","47,577","2,670","58,859","19,099","10,456","52,289","2,634","24,961","2,881","27,930","133,382","6,574","2,030","26,151","23,990","8,841","19,672","1,537","11,289"
            Less than high school graduate,"5,593","1,069","6,935","1,672","22,460","2,534",989,476,440,"10,876","10,161",749,626,"9,261","3,678","1,576","1,878","2,241","5,679",476,"3,954","1,521","8,479","3,930","2,750","3,968",859,"1,692","2,438",11,"3,408","2,608","10,763","8,895",270,"10,771","2,845","3,120","7,236",126,"4,963",711,"3,671","28,517",799,449,"5,041","3,825","1,365","2,122",140,701
            High school graduate (includes equivalency),"9,455",946,"12,747","5,892","38,704","3,985","1,815","1,413","1,416","27,051","17,779","2,190","1,387","16,722","13,856","3,864","4,651","7,095","12,712","1,087","9,196","6,248","16,495","4,626","5,189","7,720","1,282","2,318","5,852","1,222","9,866","4,236","20,838","16,659","1,043","22,422","7,698","3,632","23,986",815,"8,865",840,"10,532","41,287","2,722",470,"8,616","9,239","3,189","7,802",684,"2,827"
            Some college or associate's degree,"8,560",404,"11,435","5,584","54,251","5,062","2,961","1,287","1,039","26,658","16,387","1,587","2,365","17,810","11,343","2,935","3,939","4,529","7,221","1,800","7,471","7,159","15,870","7,053","7,982","9,565",884,"2,947","5,829",426,"9,435","4,781","20,404","18,103","1,233","20,950","7,134","2,967","16,565",730,"8,835",960,"11,193","52,396","2,526",723,"9,914","8,087","3,252","7,884",175,"4,898"
