Label,Alabama_Count,Alaska_Count,Arizona_Count,Arkansas_Count,California_Count,Colorado_Count,Connecticut_Count,Delaware_Count,District of Columbia_Count,Florida_Count,Georgia_Count,Hawaii_Count,Idaho_Count,Illinois_Count,Indiana_Count,Iowa_Count,Kansas_Count,Kentucky_Count,Louisiana_Count,Maine_Count,Maryland_Count,Massachusetts_Count,Michigan_Count,Minnesota_Count,Mississippi_Count,Missouri_Count,Montana_Count,Nebraska_Count,Nevada_Count,New Hampshire_Count,New Jersey_Count,New Mexico_Count,New York_Count,North Carolina_Count,North Dakota_Count,Ohio_Count,Oklahoma_Count,Oregon_Count,Pennsylvania_Count,Rhode Island_Count,South Carolina_Count,South Dakota_Count,Tennessee_Count,Texas_Count,Utah_Count,Vermont_Count,Virginia_Count,Washington_Count,West Virginia_Count,Wisconsin_Count,Wyoming_Count,Puerto Rico_Count
            Bachelor's degree,"1,997",28,"2,747",903,"14,425","1,327",844,54,538,"9,010","5,021",270,0,"3,651","2,179",664,636,600,"1,804",196,"1,730","3,096","2,096","1,951",960,"1,796",239,384,809,815,"3,666",276,"9,195","4,199",228,"3,415","1,681",594,"3,540",324,"2,025",41,"1,727","7,576",504,81,"2,781","2,482",858,"1,356",29,"2,242"
            Graduate or professional degree,825,0,734,189,"4,291",751,317,0,348,"1,793","1,626",266,45,"1,459",201,262,264,376,406,0,"1,012","1,636","1,082",527,350,155,107,170,260,102,"1,864",196,"3,607",829,157,"1,345",247,372,"1,452",0,967,87,446,"2,681",210,70,"1,559",755,131,429,0,535
Women who did not have a birth in the past 12 months:,"1,086,960","161,490","1,515,296","645,944","9,217,778","1,285,209","793,287","208,653","200,238","4,429,840","2,454,675","298,660","365,906","2,883,171","1,476,829","662,248","619,224","971,364","1,055,431","269,302","1,371,020","1,593,272","2,148,329","1,201,579","668,999","1,313,492","214,310","403,101","669,621","284,287","2,002,102","441,906","4,579,966","2,330,167","158,221","2,506,061","848,393","918,119","2,744,887","243,424","1,099,246","173,356","1,506,090","6,599,751","723,881","133,511","1,933,386","1,651,266","376,912","1,235,660","118,351","771,935"
        Now married (including separated and spouse absent):,"449,802","75,594","617,691","297,973","3,853,343","582,818","302,950","78,497","50,529","1,773,877","1,023,462","133,749","180,768","1,186,902","646,035","298,691","294,915","443,760","401,417","114,009","558,385","618,835","871,226","536,201","267,666","566,867","97,442","189,670","281,973","119,947","863,097","166,405","1,758,933","1,019,622","74,126","1,034,269","390,378","401,996","1,115,100","88,465","449,351","79,946","667,185","3,010,833","368,963","54,937","866,900","766,766","167,800","521,853","58,124","219,630"
            Less than high school graduate,"40,777","4,194","79,574","28,493","589,626","46,685","15,775","6,563","3,971","148,306","94,150","6,111","12,074","99,638","54,059","17,441","24,667","34,686","34,065","3,654","40,019","36,038","48,366","29,161","22,999","37,572","4,357","14,717","36,321","3,268","55,839","22,243","179,804","87,823","2,671","62,909","36,001","35,960","64,676","6,762","32,171","3,384","49,584","441,613","23,397","2,478","58,301","59,763","10,451","25,780","2,462","15,828"
            High school graduate (includes equivalency),"98,827","13,951","118,772","77,800","712,698","96,761","51,756","16,436","4,854","395,910","205,739","29,848","39,515","220,086","138,366","51,007","46,378","100,941","103,782","26,322","89,347","97,669","162,085","71,123","58,651","116,825","20,906","28,042","72,035","20,320","160,491","36,810","349,680","176,331","11,121","230,324","96,942","68,466","239,882","20,029","102,939","14,817","167,825","630,052","72,377","11,363","149,436","126,846","54,363","90,991","13,098","49,773"
            Some college or associate's degree,"149,914","28,553","205,361","97,440","1,043,806","162,041","71,744","21,785","5,949","560,914","310,669","41,622","71,521","322,625","211,321","104,740","95,786","156,508","120,183","34,193","137,736","136,500","297,587","166,208","103,431","182,788","31,997","62,604","89,954","36,010","187,268","58,143","416,095","337,701","24,484","324,496","129,210","124,810","295,060","23,491","145,796","29,381","208,621","884,042","142,950","14,364","242,047","249,854","57,111","173,387","22,699","62,247"
            Bachelor's degree,"102,714","18,703","135,976","59,620","926,872","177,895","85,321","17,843","12,232","444,696","247,492","37,373","42,012","324,432","167,149","83,568","81,180","88,711","93,448","31,368","150,977","177,551","223,101","172,166","50,331","140,523","28,034","55,897","55,241","37,454","270,206","28,553","422,018","265,677","26,348","255,762","87,783","106,619","302,601","22,394","104,760","22,309","154,375","699,474","96,367","16,341","240,664","203,053","28,468","153,392","13,183","67,582"
            Graduate or professional degree,"57,570","10,193","78,008","34,620","580,341","99,436","78,354","15,870","23,523","224,051","165,412","18,795","15,646","220,121","75,140","41,935","46,904","62,914","49,939","18,472","140,306","171,077","140,087","97,543","32,254","89,159","12,148","28,410","28,422","22,895","189,293","20,656","391,336","152,090","9,502","160,778","40,442","66,141","212,881","15,789","63,685","10,055","86,780","355,652","33,872","10,391","176,452","127,250","17,407","78,303","6,682","24,200"
"        Unmarried (never married, widowed and divorced):","637,158","85,896","897,605","347,971","5,364,435","702,391","490,337","130,156","149,709","2,655,963","1,431,213","164,911","185,138","1,696,269","830,794","363,557","324,309","527,604","654,014","155,293","812,635","974,437","1,277,103","665,378","401,333","746,625","116,868","213,431","387,648","164,340","1,139,005","275,501","2,821,033","1,310,545","84,095","1,471,792","458,015","516,123","1,629,787","154,959","649,895","93,410","838,905","3,588,918","354,918","78,574","1,066,486","884,500","209,112","713,807","60,227","552,305"
            Less than high school graduate,"151,020","20,208","222,889","85,666","1,181,915","152,727","99,251","25,164","13,954","583,857","345,069","28,254","49,929","365,996","203,870","77,926","77,879","124,585","158,977","29,502","169,623","185,282","284,474","144,097","96,370","169,060","28,088","50,127","93,358","33,264","250,486","67,938","566,478","309,926","15,818","337,178","115,054","112,243","334,016","27,544","147,054","24,730","188,181","929,251","95,482","13,781","224,104","195,808","51,165","151,786","15,047","99,628"
            High school graduate (includes equivalency),"159,684","19,851","205,977","87,333","1,058,992","130,139","103,576","36,028","22,609","612,712","330,009","46,361","48,213","350,982","206,132","70,712","62,377","130,368","166,854","38,453","166,282","176,191","285,931","121,604","95,947","161,399","27,967","40,750","100,051","35,552","239,686","62,085","528,458","257,630","16,435","359,697","108,623","98,773","420,752","39,781","159,087","20,109","202,402","784,341","77,121","18,440","210,903","173,920","58,132","158,894","13,210","117,508"
            Some college or associate's degree,"228,483","30,922","306,343","121,620","1,820,019","212,754","156,888","42,251","34,576","906,236","456,524","53,017","59,816","557,107","274,499","140,722","121,662","185,604","218,275","53,016","255,412","295,052","465,477","236,060","151,901","264,368","38,078","80,413","130,965","56,154","326,549","100,766","846,187","460,756","32,428","501,730","164,689","182,944","496,749","52,286","229,319","31,844","281,172","1,188,002","125,098","25,240","349,206","304,601","67,657","257,527","20,657","197,250"
            Bachelor's degree,"70,725","10,066","119,694","38,958","952,125","151,491","90,915","17,093","41,946","407,416","207,352","27,243","20,246","292,881","112,434","57,551","46,076","62,481","77,943","25,275","140,854","215,906","173,442","125,170","39,401","109,691","17,375","31,447","45,236","27,341","231,924","30,682","601,862","203,705","14,585","194,657","53,640","87,519","269,065","25,769","81,789","13,298","115,708","508,369","43,310","15,356","188,329","157,684","21,981","108,059","8,054","101,978"
            Graduate or professional degree,"27,246","4,849","42,702","14,394","351,384","55,280","39,707","9,620","36,624","145,742","92,259","10,036","6,934","129,303","33,859","16,646","16,315","24,566","31,965","9,047","80,464","102,006","67,779","38,447","17,714","42,107","5,360","10,694","18,038","12,029","90,360","14,030","278,048","78,528","4,829","78,530","16,009","34,644","109,205","9,579","32,646","3,429","51,442","178,955","13,907","5,757","93,944","52,487","10,177","37,541","3,259","35,941"
