Label,Alabama_Count,Alabama_Male,Alabama_Female,Alaska_Count,Alaska_Male,Alaska_Female,Arizona_Count,Arizona_Male,Arizona_Female,Arkansas_Count,Arkansas_Male,Arkansas_Female,California_Count,California_Male,California_Female,Colorado_Count,Colorado_Male,Colorado_Female,Connecticut_Count,Connecticut_Male,Connecticut_Female,Delaware_Count,Delaware_Male,Delaware_Female,District of Columbia_Count,District of Columbia_Male,District of Columbia_Female,Florida_Count,Florida_Male,Florida_Female,Georgia_Count,Georgia_Male,Georgia_Female,Hawaii_Count,Hawaii_Male,Hawaii_Female,Idaho_Count,Idaho_Male,Idaho_Female,Illinois_Count,Illinois_Male,Illinois_Female,Indiana_Count,Indiana_Male,Indiana_Female,Iowa_Count,Iowa_Male,Iowa_Female,Kansas_Count,Kansas_Male,Kansas_Female,Kentucky_Count,Kentucky_Male,Kentucky_Female,Louisiana_Count,Louisiana_Male,Louisiana_Female,Maine_Count,Maine_Male,Maine_Female,Maryland_Count,Maryland_Male,Maryland_Female,Massachusetts_Count,Massachusetts_Male,Massachusetts_Female,Michigan_Count,Michigan_Male,Michigan_Female,Minnesota_Count,Minnesota_Male,Minnesota_Female,Mississippi_Count,Mississippi_Male,Mississippi_Female,Missouri_Count,Missouri_Male,Missouri_Female,Montana_Count,Montana_Male,Montana_Female,Nebraska_Count,Nebraska_Male,Nebraska_Female,Nevada_Count,Nevada_Male,Nevada_Female,New Hampshire_Count,New Hampshire_Male,New Hampshire_Female,New Jersey_Count,New Jersey_Male,New Jersey_Female,New Mexico_Count,New Mexico_Male,New Mexico_Female,New York_Count,New York_Male,New York_Female,North Carolina_Count,North Carolina_Male,North Carolina_Female,North Dakota_Count,North Dakota_Male,North Dakota_Female,Ohio_Count,Ohio_Male,Ohio_Female,Oklahoma_Count,Oklahoma_Male,Oklahoma_Female,Oregon_Count,Oregon_Male,Oregon_Female,Pennsylvania_Count,Pennsylvania_Male,Pennsylvania_Female,Rhode Island_Count,Rhode Island_Male,Rhode Island_Female,South Carolina_Count,South Carolina_Male,South Carolina_Female,South Dakota_Count,South Dakota_Male,South Dakota_Female,Tennessee_Count,Tennessee_Male,Tennessee_Female,Texas_Count,Texas_Male,Texas_Female,Utah_Count,Utah_Male,Utah_Female,Vermont_Count,Vermont_Male,Vermont_Female,Virginia_Count,Virginia_Male,Virginia_Female,Washington_Count,Washington_Male,Washington_Female,West Virginia_Count,West Virginia_Male,West Virginia_Female,Wisconsin_Count,Wisconsin_Male,Wisconsin_Female,Wyoming_Count,Wyoming_Male,Wyoming_Female,Puerto Rico_Count,Puerto Rico_Male,Puerto Rico_Female
AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population 18 to 24 years,"463,070","230,768","232,302","75,647","43,948","31,699","673,240","348,374","324,866","290,440","150,963","139,477","3,852,527","1,988,384","1,864,143","534,527","278,848","255,679","356,553","184,914","171,639","85,281","43,076","42,205","80,230","35,999","44,231","1,763,628","906,017","857,611","1,014,366","522,341","492,025","129,855","70,812","59,043","159,418","82,041","77,377","1,213,601","617,945","595,656","662,944","340,649","322,295","320,706","163,293","157,413","300,434","159,455","140,979","429,008","220,743","208,265","449,365","227,878","221,487","109,959","56,783","53,176","547,787","278,725","269,062","705,317","350,661","354,656","976,715","501,739","474,976","506,046","257,263","248,783","308,551","157,810","150,741","581,922","301,212","280,710","101,230","51,898","49,332","189,211","96,343","92,868","251,946","128,595","123,351","127,368","65,709","61,659","788,858","407,698","381,160","200,120","103,423","96,697","1,912,311","961,582","950,729","972,709","500,021","472,688","88,343","46,760","41,583","1,083,341","553,380","529,961","389,969","203,417","186,552","367,267","186,694","180,573","1,187,407","602,779","584,628","113,741","56,706","57,035","472,679","243,309","229,370","85,659","44,638","41,021","620,744","315,075","305,669","2,795,622","1,448,307","1,347,315","346,126","176,913","169,213","66,347","34,145","32,202","823,075","425,937","397,138","662,384","344,153","318,231","162,462","84,919","77,543","560,389","285,358","275,031","53,847","28,264","25,583","343,234","173,136","170,098"
    Less than high school graduate,"63,369","35,951","27,418","10,553","6,790","3,763","104,586","61,624","42,962","45,197","25,504","19,693","450,516","264,526","185,990","67,785","39,492","28,293","33,601","19,322","14,279","14,346","8,778","5,568","6,220","3,693","2,527","272,853","164,464","108,389","164,569","94,982","69,587","9,438","5,262","4,176","19,133","11,148","7,985","145,713","83,845","61,868","105,641","60,384","45,257","35,865","22,084","13,781","37,611","21,285","16,326","57,422","31,328","26,094","78,458","49,177","29,281","12,784","7,781","5,003","63,879","38,259","25,620","77,062","44,327","32,735","130,791","78,125","52,666","60,040","34,096","25,944","46,877","27,273","19,604","78,214","48,418","29,796","11,207","6,942","4,265","19,623","10,882","8,741","42,936","23,073","19,863","13,260","7,846","5,414","89,644","50,208","39,436","34,213","20,530","13,683","224,093","126,570","97,523","135,878","81,452","54,426","6,189","3,335","2,854","148,155","85,600","62,555","62,371","36,281","26,090","46,586","25,930","20,656","143,157","84,669","58,488","12,621","8,235","4,386","64,084","37,565","26,519","12,127","7,680","4,447","72,269","40,699","31,570","421,608","240,675","180,933","42,271","24,399","17,872","6,238","4,278","1,960","87,711","50,711","37,000","100,490","55,793","44,697","20,307","11,833","8,474","60,137","33,973","26,164","8,584","4,958","3,626","30,949","17,593","13,356"
    High school graduate (includes equivalency),"148,705","80,078","68,627","29,718","18,445","11,273","222,145","124,258","97,887","96,237","54,558","41,679","1,151,620","656,272","495,348","171,428","98,534","72,894","105,267","61,850","43,417","29,575","16,672","12,903","23,177","11,596","11,581","539,541","301,391","238,150","331,738","185,688","146,050","53,587","32,353","21,234","57,516","34,074","23,442","349,801","198,104","151,697","203,163","108,357","94,806","87,694","50,387","37,307","86,112","50,486","35,626","144,325","86,729","57,596","159,445","87,890","71,555","35,260","18,757","16,503","161,256","91,030","70,226","190,893","105,510","85,383","285,514","156,020","129,494","137,660","80,659","57,001","94,095","55,749","38,346","179,241","105,107","74,134","35,947","20,222","15,725","54,416","31,344","23,072","92,228","51,052","41,176","40,329","22,305","18,024","225,405","128,910","96,495","60,024","32,146","27,878","502,339","274,237","228,102","309,990","182,325","127,665","27,642","16,584","11,058","366,241","211,555","154,686","136,011","77,797","58,214","113,029","64,681","48,348","400,098","219,425","180,673","33,953","18,088","15,865","155,741","91,474","64,267","24,915","14,043","10,872","220,641","125,497","95,144","905,685","507,736","397,949","106,080","61,030","45,050","20,940","11,164","9,776","251,929","142,467","109,462","201,749","117,963","83,786","56,707","33,665","23,042","177,350","99,963","77,387","17,450","9,675","7,775","93,150","54,728","38,422"
    Some college or associate's degree,"218,092","100,811","117,281","29,776","16,410","13,366","294,824","140,029","154,795","126,965","61,858","65,107","1,863,716","896,956","966,760","233,085","115,034","118,051","162,400","76,383","86,017","33,290","14,674","18,616","31,563","13,858","17,705","793,318","373,866","419,452","424,386","202,385","222,001","54,166","27,594","26,572","73,031","32,645","40,386","550,135","265,011","285,124","289,103","142,172","146,931","162,607","76,617","85,990","145,690","73,671","72,019","190,127","86,947","103,180","178,185","76,173","102,012","49,887","24,412","25,475","244,984","119,462","125,522","313,223","150,161","163,062","464,734","224,638","240,096","240,401","114,550","125,851","150,957","69,271","81,686","267,410","124,912","142,498","45,550","21,238","24,312","96,079","46,325","49,754","103,246","48,866","54,380","53,987","26,254","27,733","345,013","170,677","174,336","93,386","46,238","47,148","875,108","429,762","445,346","426,946","197,171","229,775","43,690","21,948","21,742","459,867","212,661","247,206","165,572","77,651","87,921","170,878","80,243","90,635","499,538","237,623","261,915","51,674","22,743","28,931","210,157","96,238","113,919","40,256","20,267","19,989","266,393","123,073","143,320","1,220,472","600,144","620,328","174,998","83,496","91,502","31,474","16,600","14,874","377,064","185,868","191,196","280,925","134,185","146,740","72,301","34,703","37,598","258,286","123,973","134,313","24,230","11,994","12,236","187,109","89,538","97,571"
    Bachelor's degree or higher,"32,904","13,928","18,976","5,600","2,303","3,297","51,685","22,463","29,222","22,041","9,043","12,998","386,675","170,630","216,045","62,229","25,788","36,441","55,285","27,359","27,926","8,070","2,952","5,118","19,270","6,852","12,418","157,916","66,296","91,620","93,673","39,286","54,387","12,664","5,603","7,061","9,738","4,174","5,564","167,952","70,985","96,967","65,037","29,736","35,301","34,540","14,205","20,335","31,021","14,013","17,008","37,134","15,739","21,395","33,277","14,638","18,639","12,028","5,833","6,195","77,668","29,974","47,694","124,139","50,663","73,476","95,676","42,956","52,720","67,945","27,958","39,987","16,622","5,517","11,105","57,057","22,775","34,282","8,526","3,496","5,030","19,093","7,792","11,301","13,536","5,604","7,932","19,792","9,304","10,488","128,796","57,903","70,893","12,497","4,509","7,988","310,771","131,013","179,758","99,895","39,073","60,822","10,822","4,893","5,929","109,078","43,564","65,514","26,015","11,688","14,327","36,774","15,840","20,934","144,614","61,062","83,552","15,493","7,640","7,853","42,697","18,032","24,665","8,361","2,648","5,713","61,441","25,806","35,635","247,857","99,752","148,105","22,777","7,988","14,789","7,695","2,103","5,592","106,371","46,891","59,480","79,220","36,212","43,008","13,147","4,718","8,429","64,616","27,449","37,167","3,583","1,637","1,946","32,026","11,277","20,749"
Population 25 years and over,"3,300,713","1,560,045","1,740,668","478,951","247,350","231,601","4,626,409","2,263,051","2,363,358","1,990,448","953,641","1,036,807","26,304,241","12,859,902","13,444,339","3,745,506","1,861,945","1,883,561","2,467,737","1,175,476","1,292,261","662,547","313,606","348,941","480,158","226,729","253,429","14,703,671","7,045,931","7,657,740","6,785,395","3,213,631","3,571,764","990,937","488,721","502,216","1,087,265","534,801","552,464","8,665,219","4,179,051","4,486,168","4,392,576","2,117,365","2,275,211","2,087,020","1,019,726","1,067,294","1,891,936","921,728","970,208","2,995,509","1,440,939","1,554,570","3,115,020","1,491,265","1,623,755","966,569","463,729","502,840","4,122,508","1,949,460","2,173,048","4,727,515","2,250,613","2,476,902","6,760,402","3,261,814","3,498,588","3,725,283","1,829,789","1,895,494","1,957,022","917,578","1,039,444","4,121,014","1,978,971","2,142,043","712,616","354,746","357,870","1,243,820","612,019","631,801","2,010,610","998,377","1,012,233","947,586","463,773","483,813","6,171,172","2,947,683","3,223,489","1,391,381","676,970","714,411","13,653,592","6,484,900","7,168,692","6,877,185","3,256,354","3,620,831","495,015","252,446","242,569","7,922,061","3,806,328","4,115,733","2,571,636","1,244,732","1,326,904","2,857,952","1,395,238","1,462,714","8,921,975","4,289,950","4,632,025","734,045","348,142","385,903","3,388,476","1,600,416","1,788,060","565,894","280,106","285,788","4,527,198","2,158,282","2,368,916","17,775,280","8,659,045","9,116,235","1,783,244","886,906","896,338","439,563","212,629","226,934","5,721,173","2,754,728","2,966,445","4,996,555","2,462,437","2,534,118","1,291,757","624,998","666,759","3,933,329","1,930,548","2,002,781","390,794","197,874","192,920","2,372,197","1,093,748","1,278,449"
Less than 9th grade,"157,797","82,192","75,605","10,392","5,059","5,333","265,215","132,055","133,160","100,157","53,974","46,183","2,556,147","1,213,765","1,342,382","128,209","65,436","62,773","100,513","47,363","53,150","22,347","12,148","10,199","17,097","8,139","8,958","762,762","374,950","387,812","334,607","179,739","154,868","36,083","14,375","21,708","34,434","18,049","16,385","429,910","217,560","212,350","164,742","85,175","79,567","66,242","36,216","30,026","68,491","35,824","32,667","170,725","89,770","80,955","160,929","93,155","67,774","25,640","13,993","11,647","166,606","87,994","78,612","212,315","102,885","109,430","203,405","104,653","98,752","111,658","52,969","58,689","94,724","52,395","42,329","137,315","67,246","70,069","13,453","8,076","5,377","51,410","27,878","23,532","122,892","62,474","60,418","20,623","12,107","8,516","317,182","149,631","167,551","84,515","41,650","42,865","865,976","409,984","455,992","319,570","169,216","150,354","13,827","7,536","6,291","222,209","110,872","111,337","103,252","54,158","49,094","106,021","51,603","54,418","289,165","143,715","145,450","38,405","17,116","21,289","148,917","79,421","69,496","18,275","10,327","7,948","216,289","113,501","102,788","1,529,632","762,285","767,347","51,995","25,812","26,183","11,087","5,973","5,114","247,576","128,408","119,168","192,181","93,372","98,809","57,435","31,385","26,050","106,804","54,821","51,983","5,751","3,090","2,661","370,922","183,070","187,852"
"9th to 12th grade, no diploma","333,897","173,660","160,237","22,585","12,401","10,184","349,224","182,136","167,088","179,465","91,540","87,925","2,062,516","1,072,508","990,008","192,377","101,937","90,440","133,422","67,590","65,832","48,247","26,499","21,748","28,646","13,341","15,305","1,092,451","578,066","514,385","588,019","304,422","283,597","43,580","23,213","20,367","69,695","35,653","34,042","536,517","286,210","250,307","346,757","176,467","170,290","105,856","57,044","48,812","110,352","57,356","52,996","257,735","132,560","125,175","325,509","175,550","149,959","48,498","28,083","20,415","240,623","126,767","113,856","240,370","127,076","113,294","444,504","232,528","211,976","152,230","82,986","69,244","216,010","114,022","101,988","292,624","145,844","146,780","37,785","20,461","17,324","61,935","34,023","27,912","157,641","80,526","77,115","47,275","28,198","19,077","343,494","177,253","166,241","118,426","62,221","56,205","1,002,316","501,963","500,353","553,627","293,077","260,550","23,917","14,323","9,594","568,107","292,413","275,694","209,774","106,512","103,262","171,461","91,882","79,579","591,181","304,020","287,161","45,778","23,280","22,498","304,737","158,385","146,352","31,736","17,113","14,623","374,024","192,103","181,921","1,506,376","772,333","734,043","95,408","52,009","43,399","23,483","14,017","9,466","366,738","190,128","176,610","266,656","143,204","123,452","123,866","67,732","56,134","210,940","121,637","89,303","20,940","10,892","10,048","207,689","110,135","97,554"
    High school graduate (includes equivalency),"1,011,236","489,259","521,977","133,928","75,546","58,382","1,105,497","548,375","557,122","681,969","343,934","338,035","5,390,935","2,717,268","2,673,667","822,144","426,175","395,969","678,776","341,415","337,361","212,474","102,241","110,233","85,248","41,159","44,089","4,249,733","2,050,410","2,199,323","1,884,080","933,069","951,011","277,743","145,542","132,201","302,866","153,930","148,936","2,250,392","1,124,607","1,125,785","1,481,882","738,708","743,174","649,532","336,775","312,757","496,294","253,835","242,459","968,299","494,051","474,248","1,059,273","518,497","540,776","318,369","164,040","154,329","1,046,470","508,352","538,118","1,156,496","585,782","570,714","1,978,343","977,187","1,001,156","937,937","489,136","448,801","603,335","298,962","304,373","1,265,386","644,234","621,152","206,415","105,543","100,872","328,348","172,266","156,082","585,057","301,424","283,633","256,245","129,593","126,652","1,706,073","822,816","883,257","370,508","192,181","178,327","3,574,814","1,750,826","1,823,988","1,775,886","884,171","891,715","134,178","72,981","61,197","2,639,028","1,304,562","1,334,466","802,529","404,313","398,216","655,893","337,593","318,300","3,132,444","1,533,643","1,598,801","204,045","102,325","101,720","981,669","486,849","494,820","163,910","85,933","77,977","1,465,937","723,545","742,392","4,474,711","2,225,385","2,249,326","404,605","197,980","206,625","128,767","68,752","60,015","1,372,836","685,632","687,204","1,111,786","568,571","543,215","512,228","255,709","256,519","1,222,607","621,719","600,888","114,624","63,337","51,287","657,523","331,710","325,813"
