"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
283440,"December 20, 2014",Washington,"Federal Way","5400 block of SW 316th Place",0,1,N/A
268907,"December 20, 2014",Mississippi,Meridian,N/A,0,1,N/A
270970,"December 20, 2014",Virginia,Norfolk,"Tidewater Drive",0,1,N/A
266384,"December 20, 2014",Utah,Paradise,"750 West 8700 South",0,1,N/A
266882,"December 20, 2014",Iowa,"Des Moines","1800 Watrous Avenue",1,0,N/A
266685,"December 19, 2014",Illinois,Effingham,N/A,0,1,N/A
265828,"December 19, 2014",Virginia,Grafton,"1900 block of Lakeside Drive",1,0,N/A
267870,"December 19, 2014",Alabama,"Cherokee (county)",N/A,0,1,N/A
284661,"December 18, 2014",Kentucky,"New Haven","6447 Nat Rogers Road",0,1,N/A
265495,"December 17, 2014",Maine,Windsor,"187 Legion Park Road",0,0,N/A
265440,"December 17, 2014","West Virginia",Fayetteville,"Lindberg Avenue",0,1,N/A
284672,"December 17, 2014",Nebraska,Uehling,N/A,0,0,N/A
264948,"December 17, 2014","West Virginia",Odd,"Farmshire Dr",0,1,N/A
264316,"December 16, 2014",Washington,Snohomish,"12400 block of Admiralty Way",0,1,N/A
264334,"December 16, 2014",Utah,Paradise,"750 West 8700 South",1,0,N/A
263656,"December 15, 2014","South Carolina",Simpsonville,"Garfield Lane",1,0,N/A
265122,"December 15, 2014",Ohio,Cincinnati,"2700 block of Montana",0,1,N/A
264185,"December 15, 2014",Alabama,Tuscaloosa,"550 Greensboro Avenue",0,1,N/A
265111,"December 15, 2014",Indiana,Elkhart,"22180 C.R. 26",0,1,N/A
265264,"December 15, 2014",Wyoming,Banner,"Murphy Gulch Rd",0,1,N/A
266332,"December 15, 2014","South Carolina","Mc Coll","101 W Tatum Ave",0,1,N/A
264272,"December 15, 2014","New Hampshire",Pelham,"9 Campbell Road",0,0,N/A
264570,"December 15, 2014",Ohio,Newark,"569 E. Main St",1,0,N/A
